Item,Footprint,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
cucumber,0.32,pickles cucumber,43.16666666666666,0.435,0.2783333333333333,10.703333333333331,8.201666666666666,1.0833333333333333,21.0,0.0211666666666666,0.0,1.4166666666666667,0.1883333333333333,3.333333333333333,0.0845,0.0326666666666666,0.0206666666666666,29.83333333333333,0.0598333333333333,0.36,5.5,0.0376666666666666,15.0,0.0,0.0733333333333333
eggplant,2.9,eggplant pickled,49.0,0.9,0.7,9.77,4.8,2.5,3.0,0.14,0.0,0.0,0.03,20.0,0.66,0.07,0.05,25.0,0.173,0.77,6.0,0.0,9.0,0.6,0.23
pepper,1.175,spices paprika,282.0,14.14,12.89,53.99,10.34,34.9,2463.0,2.141,0.0,0.9,29.1,49.0,10.06,1.23,0.33,229.0,0.713,21.14,178.0,1.59,314.0,6.3,4.33
tomato,0.9412380952,tomato products canned,46.0,1.9981818181818185,0.4827272727272726,10.254545454545454,4.609999999999999,2.109090909090909,45.09090909090909,0.157,0.0,13.67272727272727,1.5527272727272723,11.909090909090908,1.5782727272727273,0.1068181818181818,0.0571818181818181,20.818181818181817,0.2131818181818181,1.6445454545454543,23.818181818181817,0.2192727272727272,47.81818181818182,1.4818181818181817,0.3463636363636363
zucchini,1.7714,squash zucchini,21.0,2.71,0.4,3.11,0.0,1.1,25.0,0.142,0.0,34.1,0.0,20.0,0.705,0.036,0.042,21.0,0.097,0.79,33.0,0.196,93.0,0.3,0.83
asparagus,0.9667195402,broccoli stalks,28.0,2.98,0.35,5.24,0.0,0.0,20.0,0.159,0.0,93.2,0.0,71.0,0.638,0.119,0.065,48.0,0.045,0.88,25.0,0.229,66.0,3.0,0.4
lettuce,0.3981359259,lettuce cos or romaine,17.0,1.23,0.3,3.29,1.19,2.1,436.0,0.074,0.0,4.0,0.13,136.0,0.313,0.067,0.072,33.0,0.048,0.97,14.0,0.155,30.0,0.4,0.23
spinach,0.4826666667,spaghetti spinach,251.0,8.965,1.1,50.48,1.36,5.3,15.5,0.2095,0.0,0.0,0.37,30.0,3.04,0.1495,0.235,44.0,0.352,1.585,118.0,2.0745,220.0,42.8,1.92
beetroot,0.245,beets pickled,65.0,0.8,0.08,16.28,13.59,2.6,2.0,0.05,0.0,2.3,0.06,27.0,0.251,0.048,0.01,11.0,0.116,0.41,15.0,0.22,17.0,1.0,0.26
carrot,0.228875,carrot dehydrated,341.0,8.1,1.49,79.57,38.82,23.6,3423.0,1.04,0.0,14.6,5.45,55.0,6.567,0.417,0.534,212.0,0.37,3.93,118.0,1.116,346.0,8.6,1.57
garlic,0.674,garlic raw,149.0,6.36,0.5,33.06,1.0,2.1,0.0,1.235,0.0,31.2,0.08,3.0,0.7,0.11,0.2,181.0,0.299,1.7,25.0,1.672,153.0,14.2,1.16
onion,0.2394833333,soup onion,117.0,3.620000000000001,0.59,24.84,2.523333333333334,2.533333333333333,1.3333333333333333,0.2156666666666666,0.0,1.5,0.12,4.0,0.6749999999999999,0.102,0.106,58.0,0.1593333333333333,0.6166666666666667,22.0,0.298,76.33333333333333,2.9,0.5566666666666668
radish,0.15379,pickles cucumber,43.16666666666666,0.435,0.2783333333333333,10.703333333333331,8.201666666666666,1.0833333333333333,21.0,0.0211666666666666,0.0,1.4166666666666667,0.1883333333333333,3.333333333333333,0.0845,0.0326666666666666,0.0206666666666666,29.83333333333333,0.0598333333333333,0.36,5.5,0.0376666666666666,15.0,0.0,0.0733333333333333
swede,0.29,fast foods potatoes,272.0,2.58,17.04,28.88,0.56,2.7,0.0,0.186,0.0,5.4,2.62,12.0,1.838,0.038,0.137,19.0,0.1,0.6,21.0,0.158,98.0,0.4,0.36
turnip,0.35,carrots baby,35.0,0.64,0.13,8.24,4.76,2.9,690.0,0.105,0.0,2.6,0.0,27.0,0.556,0.036,0.03,32.0,0.1,0.89,10.0,0.151,28.0,0.9,0.17
artichoke,0.33,kashi spinach artichoke pasta frozen,111.0,5.0,3.4,15.1,0.1,3.0,0.0,0.1,0.0,0.0,0.0,0.0,1.9,0.1,0.1,66.0,0.0,1.0,12.0,0.0,28.0,0.0,0.2
broccoli,0.6693684211,broccoli chinese,22.0,1.14,0.72,3.81,0.84,2.5,82.0,0.07,0.0,28.2,0.48,99.0,0.437,0.146,0.095,100.0,0.061,0.56,18.0,0.264,41.0,1.3,0.39
cauliflower,0.3188,broccoli stalks,28.0,2.98,0.35,5.24,0.0,0.0,20.0,0.159,0.0,93.2,0.0,71.0,0.638,0.119,0.065,48.0,0.045,0.88,25.0,0.229,66.0,3.0,0.4
celery,0.32,celery raw,16.0,0.69,0.17,2.97,1.34,1.6,22.0,0.074,0.0,3.1,0.27,36.0,0.32,0.057,0.021,40.0,0.035,0.2,11.0,0.103,24.0,0.4,0.13
cucumber,0.3153541776,pickles cucumber,43.16666666666666,0.435,0.2783333333333333,10.703333333333331,8.201666666666666,1.0833333333333333,21.0,0.0211666666666666,0.0,1.4166666666666667,0.1883333333333333,3.333333333333333,0.0845,0.0326666666666666,0.0206666666666666,29.83333333333333,0.0598333333333333,0.36,5.5,0.0376666666666666,15.0,0.0,0.0733333333333333
eggplant,0.454584,eggplant pickled,49.0,0.9,0.7,9.77,4.8,2.5,3.0,0.14,0.0,0.0,0.03,20.0,0.66,0.07,0.05,25.0,0.173,0.77,6.0,0.0,9.0,0.6,0.23
fennel,0.48,fennel bulb,31.0,1.24,0.2,7.3,3.93,3.1,48.0,0.047,0.0,12.0,0.58,27.0,0.64,0.032,0.01,49.0,0.066,0.73,17.0,0.191,50.0,0.7,0.2
pepper,0.57904,spices paprika,282.0,14.14,12.89,53.99,10.34,34.9,2463.0,2.141,0.0,0.9,29.1,49.0,10.06,1.23,0.33,229.0,0.713,21.14,178.0,1.59,314.0,6.3,4.33
pumpkin,0.3846762295,pumpkin flowers,15.0,1.09,0.08,3.18,2.4,0.9,87.0,0.05,0.0,5.0,0.04,41.0,0.31,0.032,0.018,37.0,0.1,0.88,25.0,0.0,34.0,0.9,0.1
tomato,0.484513725,tomato products canned,46.0,1.9981818181818185,0.4827272727272726,10.254545454545454,4.609999999999999,2.109090909090909,45.09090909090909,0.157,0.0,13.67272727272727,1.5527272727272723,11.909090909090908,1.5782727272727273,0.1068181818181818,0.0571818181818181,20.818181818181817,0.2131818181818181,1.6445454545454543,23.818181818181817,0.2192727272727272,47.81818181818182,1.4818181818181817,0.3463636363636363
vegetables,0.6926075,soup beef and vegetables,45.0,3.22,1.055,5.575,1.235,1.0,57.5,0.063,0.085,1.8,0.225,4.5,0.9425,0.0155,0.015,17.5,0.026,0.48,9.5,0.0575,45.5,3.0,0.485
zucchini,0.6516393443,squash zucchini,21.0,2.71,0.4,3.11,0.0,1.1,25.0,0.142,0.0,34.1,0.0,20.0,0.705,0.036,0.042,21.0,0.097,0.79,33.0,0.196,93.0,0.3,0.83
anchovy,0.8144166667,fish anchovy,170.5,24.62,7.275,0.0,0.0,0.0,13.5,0.173,0.75,0.0,1.95,11.0,16.9635,0.3095,0.0665,189.5,0.275,3.94,55.0,0.085,213.0,52.3,2.08
catfish,8.93,fish catfish,138.4,17.322,6.426,1.608,0.0,0.1399999999999999,7.8,0.1485999999999999,2.538,0.3,0.356,16.2,2.2454,0.091,0.1108,17.2,0.049,0.518,24.0,0.025,236.0,11.78,0.608
cod,3.289318182,fish cod,111.5,24.7725,0.765,0.0,0.0,0.0,10.75,0.240875,2.1625,0.8125,0.7899999999999999,7.875,2.127375,0.070375,0.07375,33.625,0.045125,0.56875,44.375,0.019875,320.25,38.4375,0.585
diamond fish,7.560333333,fish caviar,264.0,24.6,17.9,4.0,0.0,0.0,271.0,0.32,20.0,0.0,1.89,50.0,0.12,0.62,0.19,275.0,0.11,11.88,300.0,0.05,356.0,65.5,0.95
eel,3.88,seaweed wakame,45.0,3.03,0.64,9.14,0.65,0.5,18.0,0.002,0.0,3.0,1.0,196.0,1.6,0.23,0.06,150.0,0.284,2.18,107.0,1.4,80.0,0.7,0.38
fish mixed,4.012083333,vegetables mixed,56.4,2.612,0.2639999999999999,11.208000000000002,1.73,3.92,253.0,0.08,0.0,5.12,0.2099999999999999,21.8,0.8026,0.0825999999999999,0.0688,24.6,0.0872,0.858,19.8,0.3994,48.0,0.3,0.4699999999999999
fork beard,8.0086,potatoes mashed,175.8181818181818,3.917272727272727,3.3145454545454545,33.31636363636363,1.6245454545454543,3.0545454545454542,30.90909090909091,0.3166363636363636,0.0381818181818181,17.690909090909088,0.14,16.181818181818183,2.0387272727272725,0.1025454545454545,0.217,42.27272727272727,0.1271818181818181,0.6863636363636364,34.54545454545455,0.2232727272727272,95.8181818181818,7.236363636363635,0.4318181818181818
haddock,3.246666667,fish haddock,93.33333333333331,20.51333333333333,0.6533333333333333,0.0,0.0,0.0,20.666666666666668,0.336,1.8533333333333333,0.0,0.5166666666666667,13.333333333333334,4.185,0.0583333333333333,0.03,24.666666666666668,0.0296666666666666,0.5933333333333333,33.666666666666664,0.018,252.0,33.5,0.4066666666666667
hake,10.11637778,carambola starfruit,31.0,1.04,0.33,6.73,3.98,2.8,3.0,0.017,0.0,34.4,0.15,12.0,0.367,0.016,0.014,3.0,0.137,0.08,10.0,0.037,12.0,0.6,0.12
herring,2.210666667,pickles cucumber,43.16666666666666,0.435,0.2783333333333333,10.703333333333331,8.201666666666666,1.0833333333333333,21.0,0.0211666666666666,0.0,1.4166666666666667,0.1883333333333333,3.333333333333333,0.0845,0.0326666666666666,0.0206666666666666,29.83333333333333,0.0598333333333333,0.36,5.5,0.0376666666666666,15.0,0.0,0.0733333333333333
ling,6.4486,beverages,8.0,0.05,0.01,1.94,1.3,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
mackerel,2.054663768,entrees fish fillet,232.0,14.66,12.29,16.97,0.0,0.5,11.0,0.102,1.11,0.0,0.0,20.0,2.102,0.106,0.109,18.0,0.045,2.11,24.0,0.185,171.0,9.1,0.44
pollock,1.4,fish spot,140.5,21.12,5.59,0.0,0.0,0.0,32.5,0.431,3.23,0.0,0.0,5.5,7.763,0.244,0.1725,16.0,0.0525,0.365,48.0,0.04,212.0,41.65,0.5800000000000001
rock fish,6.94,fish caviar,264.0,24.6,17.9,4.0,0.0,0.0,271.0,0.32,20.0,0.0,1.89,50.0,0.12,0.62,0.19,275.0,0.11,11.88,300.0,0.05,356.0,65.5,0.95
salmon,3.799502405,fish salmon,116.0,20.69,3.67,0.0,0.0,0.0,32.0,0.189,8.08,0.0,0.49,18.0,8.79,0.217,0.156,7.0,0.137,0.56,26.0,0.03,230.0,39.7,0.54
sardine,0.9028,carambola starfruit,31.0,1.04,0.33,6.73,3.98,2.8,3.0,0.017,0.0,34.4,0.15,12.0,0.367,0.016,0.014,3.0,0.137,0.08,10.0,0.037,12.0,0.6,0.12
sea bass,3.59096,fish sea bass,110.5,21.03,2.28,0.0,0.0,0.0,55.0,0.43,0.3,0.0,0.42,5.5,1.75,0.135,0.12,11.5,0.0215,0.3299999999999999,47.0,0.0175,221.0,41.65,0.46
shark,10.09044444,veal rib,192.66666666666663,25.90333333333333,9.106666666666667,0.0,0.0,0.0,0.0,0.34,1.4450000000000005,0.0,0.3033333333333333,14.0,7.27,0.2716666666666666,0.06,16.0,0.1144999999999999,1.0883333333333334,23.666666666666668,0.0326666666666666,201.66666666666663,11.133333333333333,4.473333333333334
sole,5.4,fish tilapia,112.0,23.115,2.175,0.0,0.0,0.0,0.0,0.1425,1.7200000000000002,0.0,0.595,15.0,4.324,0.068,0.067,12.0,0.075,0.625,30.5,0.037,187.0,48.1,0.37
swordfish,12.838,fish swordfish,158.0,21.555,7.29,0.0,0.0,0.0,39.5,0.579,1.66,0.0,2.215,2.0,8.507,0.0579999999999999,0.0819999999999999,5.5,0.0424999999999999,0.415,32.0,0.012,279.5,62.95,0.72
trout,3.645946032,entrees fish fillet,232.0,14.66,12.29,16.97,0.0,0.5,11.0,0.102,1.11,0.0,0.0,20.0,2.102,0.106,0.109,18.0,0.045,2.11,24.0,0.185,171.0,9.1,0.44
tuna,4.676625,fish tuna,144.85714285714286,25.75071428571428,3.918571428571429,0.0,0.0,0.0,110.21428571428572,0.4975,3.250714285714286,0.1428571428571428,0.42,4.214285714285714,12.650357142857144,0.1196428571428571,0.0735714285714286,13.0,0.0751428571428571,1.1464285714285716,36.785714285714285,0.0159285714285714,256.42857142857144,65.71428571428571,0.6585714285714286
cod frozen,3.088333333,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
fish stick frozen,2.260802469,fish sticks meatless,290.0,23.0,18.0,9.0,0.8,6.1,0.0,1.5,4.2,0.0,3.95,102.0,12.0,0.9,1.1,95.0,0.925,2.0,23.0,0.0,450.0,4.4,1.4
haddock frozen,3.72,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
herring frozen,1.305,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
mackerel frozen,1.111666667,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
mixed fish frozen,1.04,vegetables mixed,56.4,2.612,0.2639999999999999,11.208000000000002,1.73,3.92,253.0,0.08,0.0,5.12,0.2099999999999999,21.8,0.8026,0.0825999999999999,0.0688,24.6,0.0872,0.858,19.8,0.3994,48.0,0.3,0.4699999999999999
pollock frozen,0.895,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
pollock stick frozen,2.14,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
salmon frozen,1.9925,asparagus frozen,20.0,3.043333333333333,0.3566666666666667,2.6466666666666665,0.2133333333333333,1.7,42.333333333333336,0.0503333333333333,0.0,26.866666666666664,0.7999999999999999,153.66666666666666,1.092666666666667,0.1123333333333333,0.0836666666666666,20.33333333333333,0.1156666666666666,0.6166666666666667,11.333333333333334,0.161,54.0,3.1666666666666665,0.47
sole frozen,14.278,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
trout frozen,4.375,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
tuna frozen,2.6625,edamame frozen,116.0,10.565,4.965,9.26,2.33,5.0,0.0,0.1175,0.0,7.899999999999999,0.7,307.0,0.92,0.21,0.175,61.5,0.3345,2.19,62.5,1.017,165.0,0.0,1.3450000000000002
cod fish stick,2.14,fish fish sticks,277.0,11.01,16.23,21.66,1.65,1.5,4.0,0.078,0.96,0.0,6.88,24.0,1.536,0.116,0.122,16.0,0.059,0.84,25.0,0.182,191.0,15.7,0.42
hake fish stick,2.14,fish sticks meatless,290.0,23.0,18.0,9.0,0.8,6.1,0.0,1.5,4.2,0.0,3.95,102.0,12.0,0.9,1.1,95.0,0.925,2.0,23.0,0.0,450.0,4.4,1.4
tuna in can,2.0,pasta with sliced franks in tomato sauce canned entree,90.0,4.37,2.38,12.69,3.17,1.6,13.0,0.073,0.19,3.8,0.74,64.0,1.157,0.069,0.078,60.0,0.136,0.91,14.0,0.129,43.0,8.0,0.52
lobster,19.302,soup crab,31.0,2.25,0.62,4.22,0.0,0.3,10.0,0.05,0.08,0.0,0.0,6.0,0.55,0.03,0.08,27.0,0.2,0.5,6.0,0.2,36.0,2.6,0.6
mussels,0.9379428571,fast foods clams,392.0,11.15,22.96,33.75,0.0,0.0,32.0,0.03,0.96,0.0,0.0,57.0,2.49,0.23,0.18,18.0,0.083,2.65,27.0,0.268,207.0,8.3,1.42
cuttlefish,5.05,carambola starfruit,31.0,1.04,0.33,6.73,3.98,2.8,3.0,0.017,0.0,34.4,0.15,12.0,0.367,0.016,0.014,3.0,0.137,0.08,10.0,0.037,12.0,0.6,0.12
octopus,5.8,asparagus canned,16.333333333333332,1.913333333333333,0.3366666666666666,2.473333333333333,0.6866666666666666,1.2,26.666666666666668,0.102,0.0,17.133333333333333,0.89,88.66666666666667,0.8853333333333332,0.0926666666666666,0.0563333333333333,15.333333333333334,0.1033333333333333,1.01,9.333333333333334,0.158,39.66666666666666,1.6333333333333335,0.4466666666666666
squid,7.507337123,fast foods shrimp,308.0,7.84,18.9,27.99,0.1,0.7,32.0,0.06,0.53,0.0,2.52,62.0,1.24,0.02,0.06,29.0,0.097,0.86,16.0,0.172,185.0,9.7,0.58
shrimps,11.95,fast foods shrimp,308.0,7.84,18.9,27.99,0.1,0.7,32.0,0.06,0.53,0.0,2.52,62.0,1.24,0.02,0.06,29.0,0.097,0.86,16.0,0.172,185.0,9.7,0.58
octopus frozen,7.878611111,collards frozen,35.0,2.876666666666667,0.3966666666666666,6.886666666666666,0.3799999999999999,3.0666666666666664,536.3333333333334,0.1143333333333333,0.0,30.933333333333337,0.8333333333333334,75.0,0.637,0.1133333333333333,0.048,207.0,0.0543333333333333,1.1033333333333335,29.666666666666668,0.653,27.0,1.4666666666666668,0.2666666666666666
shrimps frozen,17.73375,taquitos frozen,285.5,9.305,12.665,33.545,1.48,2.85,32.5,0.1595,0.23,0.0,1.19,106.0,3.6935,0.293,0.331,100.5,0.101,2.5700000000000003,24.0,0.3745,134.5,16.05,0.88
