Item,Footprint,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
sunflower oil,0.99412,oil sunflower,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0
pasta,1.241734167,pasta homemade,127.0,4.825,1.36,24.33,0.0,0.0,8.5,0.0325,0.05,0.0,0.0,60.5,1.2999999999999998,0.1609999999999999,0.1775,8.0,0.0579999999999999,1.145,14.0,0.188,46.0,0.0,0.405
pesto,2.713,ravioli cheese with tomato sauce,111.0,4.52,2.61,17.31,4.09,1.4,35.0,0.108,0.14,2.8,0.98,70.0,1.267,0.116,0.118,79.0,0.079,0.93,20.0,0.184,78.0,12.1,0.43
pesto without garlic,2.717,garlic raw,149.0,6.36,0.5,33.06,1.0,2.1,0.0,1.235,0.0,31.2,0.08,3.0,0.7,0.11,0.2,181.0,0.299,1.7,25.0,1.672,153.0,14.2,1.16
beet sugar,0.8854922222222222,sugar turbinado,399.0,0.0,0.0,99.8,99.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.009,0.37,2.0,0.046,1.0,0.0,0.03
cane sugar,0.66633,sugar turbinado,399.0,0.0,0.0,99.8,99.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.009,0.37,2.0,0.046,1.0,0.0,0.03
cakes and croissant,2.230607143,snacks corn cakes,387.0,8.1,2.4,83.4,11.735,0.95,41.0,0.14,0.0,0.0,0.0,19.0,5.15,0.05,0.25,19.0,0.42,1.4,114.0,1.815,157.0,9.9,2.0
cocoa cakes and croissant,1.970555556,snacks corn cakes,387.0,8.1,2.4,83.4,11.735,0.95,41.0,0.14,0.0,0.0,0.0,19.0,5.15,0.05,0.25,19.0,0.42,1.4,114.0,1.815,157.0,9.9,2.0
tomato chopped,1.410825,tomato products canned,46.0,1.9981818181818185,0.4827272727272726,10.254545454545454,4.609999999999999,2.109090909090909,45.09090909090909,0.157,0.0,13.67272727272727,1.5527272727272723,11.909090909090908,1.5782727272727273,0.1068181818181818,0.0571818181818181,20.818181818181817,0.2131818181818181,1.6445454545454543,23.818181818181817,0.2192727272727272,47.81818181818182,1.4818181818181817,0.3463636363636363
tomato peeled,1.275166667,tomato products canned,46.0,1.9981818181818185,0.4827272727272726,10.254545454545454,4.609999999999999,2.109090909090909,45.09090909090909,0.157,0.0,13.67272727272727,1.5527272727272723,11.909090909090908,1.5782727272727273,0.1068181818181818,0.0571818181818181,20.818181818181817,0.2131818181818181,1.6445454545454543,23.818181818181817,0.2192727272727272,47.81818181818182,1.4818181818181817,0.3463636363636363
tomato puree,1.169911429,tomato products canned,46.0,1.9981818181818185,0.4827272727272726,10.254545454545454,4.609999999999999,2.109090909090909,45.09090909090909,0.157,0.0,13.67272727272727,1.5527272727272723,11.909090909090908,1.5782727272727273,0.1068181818181818,0.0571818181818181,20.818181818181817,0.2131818181818181,1.6445454545454543,23.818181818181817,0.2192727272727272,47.81818181818182,1.4818181818181817,0.3463636363636363
tomato and basil,1.1465,clam and tomato juice canned,48.0,0.6,0.2,10.95,3.31,0.4,7.0,0.061,0.03,5.0,0.11,8.0,0.231,0.012,0.021,8.0,0.029,0.15,5.0,0.032,11.0,0.4,0.08
carrots canned,1.6,carrots canned,24.0,0.6125,0.165,5.4525,2.47,1.65,571.75,0.112,0.0,2.35,0.7350000000000001,8.5,0.4865,0.0284999999999999,0.0185,28.0,0.1035,0.5800000000000001,8.5,0.45,22.0,0.4,0.275
corn canned,1.355,corn dried,419.0,14.48,10.64,66.27,21.32,20.5,13.0,1.11,0.0,0.0,0.44,0.0,8.25,0.181,0.261,25.0,0.293,2.61,149.0,0.9,344.0,56.5,3.06
carrots frozen,0.267,carrots frozen,36.66666666666666,0.6466666666666666,0.6066666666666668,7.786666666666666,4.306666666666667,3.2999999999999994,800.6666666666666,0.0876666666666666,0.0,2.3666666666666667,0.8633333333333333,10.666666666666666,0.432,0.037,0.0346666666666666,35.333333333333336,0.0793333333333333,0.5,11.333333333333334,0.1683333333333333,31.666666666666668,0.6333333333333333,0.3433333333333332
zucchini frozen,1.35,cauliflower frozen,20.0,1.7433333333333334,0.2366666666666666,3.863333333333333,1.2433333333333334,2.566666666666667,0.3333333333333333,0.0996666666666666,0.0,37.13333333333333,0.0633333333333333,48.66666666666666,0.3496666666666666,0.0586666666666666,0.0416666666666666,18.666666666666668,0.0263333333333333,0.4533333333333333,10.0,0.1656666666666666,27.666666666666668,0.6666666666666666,0.1433333333333333
soy cream,1.62,cream fluid,240.5,2.47,24.68,3.4275,3.4275,0.0,242.0,0.03125,0.2324999999999999,0.7250000000000001,0.7050000000000001,3.25,0.054,0.133,0.0282499999999999,83.75,0.00775,0.0425,8.25,0.001,74.5,0.85,0.315
almond milk,0.4179027998,beverages almond milk,44.0,0.525,1.145,7.985,7.5,0.4,63.0,0.0045,1.25,2.2,2.81,1.0,0.089,0.177,0.0185,188.0,0.042,0.415,9.5,0.058,13.5,0.15,0.63
coconut milk,0.4126201796,nuts coconut milk,209.66666666666663,1.9733333333333336,21.99,4.6433333333333335,1.1133333333333333,0.7333333333333334,0.0,0.0303333333333333,0.0,1.6333333333333335,0.0499999999999999,14.666666666666666,0.6893333333333334,0.0,0.0236666666666666,12.666666666666666,0.2413333333333333,1.9166666666666667,38.333333333333336,0.8310000000000001,85.0,2.066666666666667,0.6066666666666666
rice milk,0.7975333333,milk imitation,46.0,1.6,2.0,5.3,5.3,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,82.0,0.02,0.1,1.0,0.0,100.0,1.8,0.1
soy milk,0.854880238,milk indian buffalo,97.0,3.75,6.89,5.18,0.0,0.0,53.0,0.023,0.36,2.3,0.0,6.0,0.091,0.135,0.052,169.0,0.046,0.12,31.0,0.018,117.0,0.0,0.22
