,Type,Name,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_2,Refuse_Pct
22,ALMONDS,DRY RSTD,2.41,598.0,20.96,52.54,3.07,21.01,10.9,4.86,268.0,3.73,279.0,471.0,713.0,250.5,3.31,1.099,2.232,2.0,0.0,0.077,1.197,3.637,0.321,0.136,55.0,0.0,55.0,55.0,52.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.9,0.0,0.0,0.0,4.092,33.076,12.955,0.0,138.0,28.35,0.0
23,ALMONDS,HONEY RSTD,1.7,594.0,18.17,49.9,2.33,27.9,13.7,0.0,263.0,2.83,240.0,400.0,560.0,130.0,2.6,0.97,2.003,0.0,0.7,0.114,0.953,2.819,0.258,0.085,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,32.402,10.472,0.0,144.0,28.35,0.0
24,ALMONDS,OIL RSTD,2.8,607.0,21.23,55.17,3.13,17.68,10.5,4.55,291.0,3.68,274.0,466.0,699.0,170.0,3.07,0.955,2.46,4.1,0.0,0.092,0.781,3.665,0.229,0.118,27.0,0.0,27.0,27.0,52.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.97,0.0,0.0,0.0,4.208,34.793,13.519,0.0,157.0,28.35,0.0
25,AMARANTH GRAIN,CKD,75.16,102.0,3.8,1.58,0.77,18.69,2.1,0.0,47.0,2.1,65.0,148.0,135.0,6.0,0.86,0.149,0.854,5.5,0.0,0.015,0.022,0.235,0.0,0.113,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0
26,AMARANTH GRAIN,UNCKD,11.29,371.0,13.56,7.02,2.88,65.25,6.7,1.69,159.0,7.61,248.0,557.0,508.0,4.0,2.87,0.525,3.333,18.7,4.2,0.116,0.2,0.923,1.457,0.591,82.0,0.0,82.0,82.0,69.8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,1.19,0.0,0.0,0.0,1.459,1.685,2.778,0.0,193.0,0.0,0.0
27,AMARANTH LEAVES,CKD,91.49,21.0,2.11,0.18,2.11,4.11,0.0,0.0,209.0,2.26,55.0,72.0,641.0,139.0,0.88,0.158,0.861,0.9,41.1,0.02,0.134,0.559,0.062,0.177,57.0,0.0,57.0,57.0,0.0,0.0,2770.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.041,0.08,0.0,132.0,0.0,0.0
28,AMARANTH LEAVES,RAW,91.69,23.0,2.46,0.33,1.5,4.02,0.0,0.0,215.0,2.32,55.0,50.0,611.0,20.0,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85.0,0.0,85.0,85.0,0.0,0.0,2917.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.091,0.076,0.147,0.0,28.0,14.0,6.0
29,ANCHOVY,EUROPEAN,61.835,170.5,24.62,7.275,6.27,0.0,0.0,0.0,189.5,3.94,55.0,213.0,463.5,1886.0,2.08,0.275,0.085,52.3,0.0,0.0665,0.3095,16.9635,0.777,0.173,11.0,0.0,11.0,11.0,42.5,0.75,45.0,13.5,13.5,0.0,0.0,0.0,0.0,0.0,1.95,0.85,34.5,6.1,1.7425,2.476,2.0995,72.5,56.675,2.0,0.0
30,ANDREA'S,GLUTEN FREE SOFT DINNER ROLL,44.6,257.0,5.65,8.2,1.31,40.24,2.9,2.98,41.0,0.89,42.0,128.0,165.0,544.0,0.77,0.111,0.671,9.2,0.0,0.25,0.0,0.0,0.0,0.14,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0
31,ANIMAL FAT,BACON GREASE,0.0,897.0,0.0,99.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.5,101.0,0.0,39.004,44.874,11.144,95.0,4.3,0.0,0.0
32,ANISE SEED,0,9.54,337.0,17.6,15.9,6.95,50.02,14.6,0.0,646.0,36.96,170.0,440.0,1441.0,16.0,5.3,0.91,2.3,5.0,21.0,0.34,0.29,3.06,0.797,0.65,10.0,0.0,10.0,10.0,0.0,0.0,311.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586,9.78,3.15,0.0,2.1,6.7,0.0
33,APPLE JUC,CND OR BTLD,88.13333333333333,46.666666666666664,0.10666666666666667,0.14333333333333334,0.25666666666666665,11.363333333333335,0.2333333333333333,9.57,28.666666666666668,0.12333333333333334,5.0,7.666666666666667,128.66666666666666,4.333333333333333,0.02666666666666667,0.011333333333333334,0.061,0.10000000000000002,23.233333333333334,0.015333333333333332,0.016333333333333335,0.07100000000000001,0.04900000000000001,0.018,0.0,0.0,0.0,0.0,1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.01,0.0,0.0,0.0,0.024333333333333335,0.006666666666666667,0.043000000000000003,0.0,224.33333333333334,119.0,0.0
34,APPLE JUC,FRZ CONC,72.45,106.5,0.325,0.23500000000000001,0.7200000000000001,26.27,0.15000000000000002,22.1475,13.0,0.5850000000000001,11.0,16.0,287.0,16.0,0.085,0.032,0.144,0.25,29.15,0.007,0.034499999999999996,0.08650000000000001,0.143,0.0745,0.5,0.0,0.5,0.5,2.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,0.0125,0.0,0.0,0.0,0.039,0.0085,0.06949999999999999,0.0,225.0,14.95,0.0
35,APPLEBEE'S,9 OZ HOUSE SIRLOIN STEAK,61.88,189.0,26.85,9.08,2.28,0.0,0.0,0.0,16.0,2.07,24.0,202.0,350.0,604.0,5.35,0.076,0.014,24.7,0.0,0.05,0.287,4.903,0.345,0.575,0.0,0.0,0.0,0.0,0.0,2.0,22.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,3.477,4.35,0.532,79.0,157.0,0.0,0.0
36,APPLEBEE'S,CHICK TENDERS,43.42,296.0,19.25,16.15,2.81,18.36,1.2,0.39,23.0,0.9,30.0,305.0,337.0,763.0,0.71,0.071,0.26,16.9,0.0,0.1,0.177,7.89,1.565,0.484,0.0,0.0,0.0,0.0,0.0,0.15,72.0,10.0,7.0,0.0,23.0,11.0,6.0,72.0,1.28,0.0,0.0,25.1,2.852,3.568,7.894,51.0,35.0,99.0,0.0
37,APPLEBEE'S,CHICK TENDERS PLATTER,43.38,297.0,19.62,16.24,2.78,17.98,1.0,0.36,23.0,0.9,30.0,298.0,336.0,740.0,0.71,0.069,0.258,16.8,0.0,0.103,0.183,7.847,1.67,0.506,0.0,0.0,0.0,0.0,0.0,0.14,67.0,9.0,7.0,1.0,20.0,11.0,5.0,72.0,1.45,0.0,0.0,0.0,2.849,4.385,7.042,52.0,209.0,0.0,0.0
38,APPLEBEE'S,CHILI,71.31,157.0,12.56,9.79,1.76,4.57,1.4,2.27,34.0,1.46,18.0,104.0,320.0,381.0,2.23,0.086,0.084,13.1,1.1,0.037,0.207,3.557,0.405,0.321,0.0,0.0,0.0,0.0,0.0,1.26,1436.0,149.0,93.0,0.0,577.0,200.0,4639.0,367.0,1.15,0.0,0.0,0.0,4.15,4.809,0.644,45.0,136.0,182.0,0.0
39,APPLEBEE'S,COLESLAW,78.15,120.0,0.79,7.09,0.79,13.17,2.8,9.33,36.0,0.26,10.0,23.0,156.0,178.0,0.19,0.017,0.148,0.4,13.7,0.03,0.063,0.3,0.205,0.129,0.0,0.0,0.0,0.0,0.0,0.0,1504.0,77.0,2.0,425.0,685.0,2.0,5.0,53.0,0.5,0.0,0.0,65.1,1.061,1.404,3.819,2.0,76.0,0.0,0.0
40,APPLEBEE'S,CRUNCHY ONION RINGS,33.09,356.0,4.58,19.61,2.55,40.17,3.1,4.48,22.0,0.67,17.0,90.0,135.0,833.0,0.43,0.087,0.486,6.0,0.0,0.107,0.091,0.73,0.405,0.077,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,13.0,1.27,0.0,0.0,41.1,3.574,4.408,10.255,0.0,350.0,0.0,0.0
41,APPLEBEE'S,DOUBLE CRUNCH SHRIMP,40.12,323.0,12.31,18.9,2.71,25.96,2.6,1.07,45.0,1.03,23.0,271.0,97.0,838.0,0.78,0.14,0.281,26.6,0.0,0.09,0.089,0.9,0.34,0.055,14.0,0.0,0.0,0.0,50.1,0.43,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,29.1,3.366,4.235,9.682,86.0,206.0,0.0,0.0
42,APPLEBEE'S,FISH,58.82,202.0,13.23,9.14,2.17,16.65,0.9,0.51,13.0,0.35,20.0,234.0,241.0,607.0,0.34,0.039,0.097,17.8,0.0,0.053,0.093,2.29,0.4,0.201,0.0,0.0,0.0,0.0,0.0,1.23,22.0,3.0,2.0,1.0,5.0,5.0,0.0,100.0,0.88,0.0,0.0,0.0,1.613,2.014,4.559,34.0,250.0,0.0,0.0
43,APPLEBEE'S,FRENCH FR,41.29,290.0,3.31,13.17,2.72,39.5,3.9,0.0,19.0,1.01,29.0,137.0,538.0,618.0,0.49,0.109,0.268,0.4,0.7,0.103,0.058,2.18,0.495,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,33.4,2.333,3.31,5.802,1.0,164.0,0.0,0.0
44,APPLEBEE'S,KRAFT,68.28,143.0,5.01,4.34,1.29,21.08,1.3,3.7,79.0,0.84,22.0,104.0,163.0,288.0,0.57,0.061,0.254,23.1,0.0,0.103,0.283,0.97,0.55,0.065,0.0,0.0,0.0,0.0,0.0,0.24,67.0,18.0,18.0,0.0,4.0,0.0,0.0,95.0,0.52,0.0,0.0,0.0,1.312,1.951,0.952,7.0,124.0,180.0,0.0
45,APPLEBEE'S,MOZZARELLA STKS,40.65,316.0,14.87,18.37,3.23,22.87,2.1,2.8,319.0,0.43,20.0,307.0,106.0,838.0,2.0,0.059,0.239,17.6,0.0,0.073,0.26,0.66,0.41,0.067,0.0,0.0,0.0,0.0,0.0,0.99,432.0,113.0,110.0,0.0,37.0,4.0,0.0,44.0,0.71,0.0,0.0,22.2,6.73,4.217,4.58,33.0,32.0,289.0,0.0
46,APPLES,CND,82.32,67.0,0.18,0.45999999999999996,0.27,16.77,1.85,14.92,4.0,0.235,2.5,5.5,69.0,3.0,0.04,0.052,0.159,0.3,0.30000000000000004,0.009,0.01,0.077,0.0315,0.044,0.0,0.0,0.0,0.0,3.2,0.0,53.5,3.0,0.0,0.0,23.0,17.5,0.0,18.0,0.21,0.0,0.0,0.6,0.07500000000000001,0.018500000000000003,0.135,0.0,204.0,0.0,0.0
47,APPLES,DEHYD (LO MOIST),41.18,210.0,0.8,0.35,0.9500000000000001,56.72,7.5,40.565,11.5,1.215,13.5,33.5,388.0,75.0,0.175,0.1645,0.0775,1.1,1.4000000000000001,0.027,0.0795,0.41000000000000003,0.256,0.167,0.5,0.0,0.5,0.5,11.55,0.0,50.0,2.5,0.0,0.0,17.5,13.5,0.0,12.5,0.375,0.0,0.0,2.15,0.0575,0.0145,0.10350000000000001,0.0,126.5,0.0,0.0
48,APPLES,DRIED,64.88333333333333,127.66666666666667,0.45,0.15333333333333335,0.5333333333333333,33.98,4.2,23.50333333333333,6.666666666666667,0.68,7.666666666666667,18.333333333333332,217.66666666666666,42.0,0.09666666666666668,0.09233333333333334,0.043666666666666666,0.5333333333333333,1.9333333333333333,0.004,0.06533333333333334,0.39233333333333337,0.11866666666666666,0.074,0.0,0.0,0.0,0.0,7.133333333333334,0.0,11.0,0.6666666666666666,0.0,0.0,2.3333333333333335,2.0,0.0,7.333333333333333,0.21666666666666667,0.0,0.0,1.2333333333333334,0.024999999999999998,0.006333333333333333,0.045000000000000005,0.0,207.0,2.1333333333333333,0.0
49,APPLES,FRZ,87.005,47.5,0.28500000000000003,0.325,0.235,12.155000000000001,1.3,5.05,4.5,0.185,3.0,8.0,76.5,3.0,0.05,0.0615,0.1575,0.2,0.25,0.0135,0.011,0.042499999999999996,0.0555,0.033,1.0,0.0,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.013,0.095,0.0,189.5,0.0,0.0
