,Type,Name,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_2,Refuse_Pct
1650,FRUIT JUC SMOOTHIE,BOLTHOUSE FARMS,86.73666666666668,51.333333333333336,0.5666666666666667,0.21666666666666667,0.3766666666666667,12.103333333333332,0.39999999999999997,10.363333333333335,13.0,0.29000000000000004,9.333333333333334,10.666666666666666,159.0,6.666666666666667,0.05000000000000001,0.028999999999999998,0.517,0.20000000000000004,54.03333333333333,0.03166666666666667,0.044333333333333336,0.20666666666666667,0.030666666666666665,0.18500000000000003,13.666666666666666,0.0,13.666666666666666,13.666666666666666,3.133333333333333,0.4833333333333334,242.33333333333334,7.333333333333333,0.0,5.333333333333333,83.66666666666667,1.6666666666666667,0.0,13.666666666666666,1.79,0.0,0.0,1.4000000000000001,0.06666666666666667,0.037333333333333336,0.06366666666666666,0.0,238.33333333333334,0.0,0.0
1651,FRUIT JUC SMOOTHIE,NAKED JUC,84.67249999999999,59.25,0.48,0.1325,0.75,13.965,1.0499999999999998,11.445,7.25,0.22999999999999998,6.0,8.25,165.5,4.0,0.035,0.02325,0.09875,0.2,11.025,0.027500000000000004,0.03675,2.23325,1.04175,0.25575,12.5,0.0,12.5,12.5,2.025,0.7825,635.5,5.75,0.0,3.0,64.5,6.0,0.0,52.25,1.515,0.0,0.0,5.5249999999999995,0.03625,0.016,0.029249999999999998,0.0,245.75,0.0,0.0
1652,FRUIT JUC SMOOTHIE,ODWALLA,87.47999999999999,49.0,0.565,0.33999999999999997,0.335,11.280000000000001,0.6,10.030000000000001,8.5,0.29500000000000004,11.5,21.0,173.0,2.5,0.07,0.04,0.128,0.25,34.85,0.05,0.0675,0.37,0.105,0.0455,22.0,0.0,22.0,22.0,4.4,0.0,815.0,40.5,0.0,10.5,419.5,128.0,0.5,43.0,4.675,0.0,0.0,1.35,0.11249999999999999,0.033,0.0805,0.0,230.0,0.0,0.0
1653,FRUIT LEATHER,PIECES,12.3,359.0,1.0,2.68,1.2,82.82,0.0,57.58,18.0,0.75,14.0,24.0,164.0,403.0,0.19,0.171,0.184,2.7,56.0,0.043,0.1,0.1,0.319,0.3,4.0,0.0,4.0,4.0,12.9,0.0,58.0,6.0,0.0,1.0,34.0,0.0,0.0,51.0,0.56,0.0,0.0,18.2,0.65,1.48,0.55,0.0,28.35,27.0,0.0
1654,FRUIT LEATHER,ROLLS,10.2,371.0,0.1,3.0,0.9,85.8,0.0,49.16,32.0,1.01,20.0,31.0,294.0,317.0,0.19,0.171,0.184,0.4,120.0,0.084,0.02,0.1,0.029,0.3,2.0,0.0,2.0,2.0,13.2,0.0,57.0,6.0,0.0,1.0,34.0,0.0,0.0,41.0,0.56,0.0,0.0,18.2,0.672,1.48,0.552,0.0,21.0,14.0,0.0
1655,FRUIT SALAD,CND,83.758,59.8,0.374,0.06000000000000001,0.22200000000000003,15.588,1.0,3.622,7.4,0.28,5.6,10.0,87.2,5.0,0.08600000000000001,0.0618,0.1476,0.1,2.44,0.013799999999999998,0.019200000000000002,0.35899999999999993,0.053000000000000005,0.031,3.0,0.0,3.0,3.0,0.74,0.0,522.0,26.0,0.0,0.0,50.8,19.2,0.0,15.0,0.08,0.0,0.0,0.52,0.0082,0.011199999999999998,0.024999999999999998,0.0,252.0,0.0,0.0
1656,FRUIT SALAD,TROPICAL,76.78,86.0,0.41,0.1,0.35,22.36,1.3,0.0,13.0,0.52,13.0,7.0,131.0,2.0,0.11,0.08,0.0,0.5,17.5,0.054,0.045,0.562,0.0,0.12,9.0,0.0,9.0,9.0,0.0,0.0,127.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.018,0.032,0.0,257.0,0.0,0.0
1657,FRUIT SYRUP,0,14.74,341.0,0.0,0.0,0.13,85.13,0.1,53.0,8.0,0.04,1.0,0.0,7.0,0.0,0.26,0.018,0.061,0.8,1.6,0.033,0.012,0.012,0.01,0.001,0.0,0.0,0.0,0.0,0.2,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,334.0,84.0,0.0
1658,FRYBREAD,MADE W/ LARD (APACHE),33.11,309.0,8.38,10.14,2.36,46.01,1.7,1.54,52.0,3.43,19.0,112.0,75.0,671.0,0.47,0.096,0.405,6.5,0.0,0.531,0.264,4.335,0.0,0.068,112.0,93.0,19.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,3.631,3.5,1.306,4.0,0.0,0.0,0.0
1659,FRYBREAD,MADE W/ LARD (NAVAJO),31.57,330.0,6.69,12.22,1.25,48.26,0.0,2.03,57.0,4.04,18.0,123.0,77.0,329.0,0.35,0.091,0.297,18.6,0.0,0.43,0.217,4.603,0.164,0.038,122.0,105.0,17.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.621,4.411,1.055,7.0,152.0,0.0,0.0
1660,FRZ NVL, KLONDIKE,63.51,124.0,4.31,1.88,0.23,30.07,6.0,7.1,138.0,0.71,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,74.0,0.0,0.0
1661,FST FOODS, POTATO,38.55,312.0,3.43,14.73,1.85,41.44,3.8,0.3,18.0,0.81,35.0,125.0,579.0,210.0,0.5,0.124,0.247,0.9,4.7,0.17,0.039,3.004,0.58,0.372,30.0,0.0,30.0,30.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.67,0.0,0.0,11.2,2.336,5.969,5.398,0.0,71.0,117.0,0.0
1662,FT FDS, HAMBRGER; SIN,57.52,226.0,11.34,12.37,1.45,17.33,1.5,4.0,46.0,2.99,18.0,97.0,188.0,342.0,2.46,0.081,0.183,18.2,0.9,0.211,0.213,3.141,0.254,0.103,64.0,33.0,31.0,87.0,32.9,1.21,186.0,9.0,0.0,15.0,103.0,2.0,1068.0,45.0,0.15,0.1,3.0,14.3,3.972,4.67,3.144,33.0,247.0,0.0,0.0
1663,FUNGI,CLOUD EARS,14.8,284.0,9.25,0.73,2.21,73.01,70.1,0.0,159.0,5.88,83.0,184.0,754.0,35.0,1.32,0.183,1.951,43.4,0.0,0.015,0.844,6.267,0.481,0.112,38.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.5,0.0
1664,Formulated bar, high fiber,12.04,350.0,5.0,10.0,3.14,69.78,22.5,25.0,250.0,0.9,190.0,419.0,447.0,350.0,1.96,0.262,3.407,8.9,1.2,0.688,0.091,7.903,1.755,0.963,35.0,12.0,22.0,43.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.47,0.0,0.0,2.6,3.397,3.522,2.334,0.0,40.0,0.0,0.0
1665,Frankfurter, meat and poultry,55.54666666666666,292.3333333333333,10.233333333333334,25.63,3.513333333333333,5.073333333333333,0.0,2.766666666666667,110.33333333333333,1.1033333333333333,11.333333333333334,182.33333333333334,356.3333333333333,989.6666666666666,1.22,0.041666666666666664,0.019,12.933333333333332,20.366666666666664,0.04666666666666667,0.148,2.847666666666667,0.562,0.06233333333333333,7.0,0.0,8.0,8.0,53.56666666666666,0.69,104.0,31.333333333333332,31.333333333333332,0.0,0.0,0.0,0.0,0.0,0.4466666666666667,0.6666666666666666,26.666666666666668,0.6666666666666666,8.005666666666665,10.470333333333334,5.660333333333333,82.33333333333333,49.666666666666664,0.0,0.0
1666,GAME MEAT,ANTELOPE,69.99000000000001,132.0,25.915,2.3499999999999996,1.275,0.0,0.0,0.0,3.5,3.6950000000000003,27.5,199.0,362.5,52.5,1.48,0.1965,0.020999999999999998,11.3,0.0,0.29000000000000004,0.655,0.0,0.0,0.0,4.5,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.5549999999999999,0.51,110.5,56.675,396.8,0.0
1667,GAME MEAT,BEAR,62.375,210.0,26.26,10.845,0.9149999999999999,0.0,0.0,0.0,4.0,8.690000000000001,11.5,160.5,131.5,35.5,5.135,0.074,0.0,9.75,0.0,0.13,0.75,3.2750000000000004,0.0,0.145,3.0,0.0,3.0,3.0,61.15,1.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.9,1.77,2.83,1.2,49.0,56.675,365.3,0.0
1668,GAME MEAT,BEAVER,64.445,179.0,29.450000000000003,5.88,1.225,0.0,0.0,0.0,18.5,8.45,27.0,264.5,375.5,55.0,1.135,0.0945,0.0,34.85,2.5,0.055,0.265,2.05,0.465,0.235,5.5,0.0,5.5,5.5,64.95,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.8,1.035,0.945,0.675,58.5,56.675,383.3,0.0
1669,GAME MEAT,BEEFALO,66.295,165.5,26.98,5.5600000000000005,1.065,0.0,0.0,0.0,21.0,2.6849999999999996,0.0,237.0,447.5,80.0,5.630000000000001,0.0,0.0,11.45,8.0,0.035,0.1,4.765,0.565,0.0,16.5,0.0,16.5,16.5,0.0,2.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3600000000000003,2.3600000000000003,0.175,51.0,56.675,396.8,0.0
1670,GAME MEAT,BISON,69.44818181818182,146.63636363636363,25.116363636363634,4.357272727272727,1.169090909090909,0.0,0.0,0.0,6.454545454545454,3.1545454545454548,25.09090909090909,215.9090909090909,350.72727272727275,54.63636363636363,4.440909090909091,0.1570909090909091,0.01518181818181818,32.37272727272728,0.0,0.11172727272727273,0.24727272727272734,4.135000000000001,0.6128181818181818,0.37554545454545457,9.818181818181818,0.0,9.818181818181818,9.818181818181818,10.436363636363636,1.939090909090909,0.7272727272727273,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.15636363636363637,0.0,0.0,0.11818181818181818,1.788454545454546,1.7024545454545454,0.25136363636363634,75.45454545454545,64.58181818181819,463.49090909090904,4.181818181818182
1671,GAME MEAT,BOAR,68.205,141.0,24.905,3.855,1.12,0.0,0.0,0.0,14.0,0.56,13.5,127.0,198.0,30.0,1.505,0.028,0.0,11.4,0.0,0.35,0.125,4.105,0.0,0.209,3.0,0.0,3.0,3.0,58.7,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.7,1.145,1.505,0.56,38.5,56.675,396.8,0.0
1672,GAME MEAT,BUFFALO,72.555,115.0,23.61,1.585,1.22,0.0,0.0,0.0,13.5,1.8650000000000002,32.5,208.5,305.0,54.5,2.235,0.16449999999999998,0.0,10.5,0.0,0.035,0.225,6.13,0.165,0.495,8.5,0.0,8.5,8.5,0.0,1.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.485,0.315,53.5,56.675,396.8,0.0
1673,GAME MEAT,CARIBOU,66.94,147.0,26.2,3.8899999999999997,1.3199999999999998,0.0,0.0,0.0,19.5,5.43,26.5,220.5,302.5,58.5,4.63,0.2425,0.08249999999999999,11.899999999999999,1.5,0.28500000000000003,0.81,5.645,2.615,0.345,4.5,0.0,4.5,4.5,61.3,6.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.7,1.495,1.17,0.5449999999999999,96.0,56.675,396.8,0.0
1674,GAME MEAT,DEER,66.79124999999999,158.0,28.65625,3.9449999999999994,1.1837499999999999,0.0,0.0,0.0,7.25,3.9650000000000003,26.625,245.75,358.625,58.625,4.27125,0.228875,0.026124999999999995,12.025,0.0,0.299125,0.49087499999999995,7.9254999999999995,0.637875,0.482875,6.875,0.0,6.875,6.875,54.6125,2.6599999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49500000000000005,0.0,0.0,0.8,1.9145,0.9042500000000001,0.32450000000000007,92.5,77.16875,196.49375,0.0
1675,GAME MEAT,ELK,66.92857142857143,158.14285714285714,27.748571428571427,4.4,1.1657142857142857,0.0,0.0,0.0,6.571428571428571,3.5128571428571425,25.428571428571427,223.42857142857142,357.7142857142857,62.57142857142857,4.6257142857142854,0.18528571428571428,0.015,10.200000000000001,0.0,0.10485714285714287,0.2485714285714286,4.641857142857143,0.8089999999999999,0.311,7.285714285714286,0.0,7.285714285714286,7.285714285714286,0.0,1.4271428571428568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,1.7987142857142857,1.2737142857142858,0.28471428571428575,71.0,85.90714285714286,174.94285714285712,2.142857142857143
1676,GAME MEAT,GOAT,68.21,143.0,27.1,3.03,1.46,0.0,0.0,0.0,17.0,3.73,0.0,201.0,405.0,86.0,5.27,0.303,0.042,11.8,0.0,0.09,0.61,3.95,0.0,0.0,5.0,0.0,5.0,5.0,106.4,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,1.2,0.93,1.36,0.23,75.0,85.0,340.0,0.0
1677,GAME MEAT,HORSE,68.30499999999999,154.0,24.765,5.324999999999999,1.15,0.0,0.0,0.0,7.0,4.425,24.5,234.0,369.5,54.0,3.36,0.1575,0.020499999999999997,11.8,1.5,0.115,0.11,4.72,0.0,0.355,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.8650000000000002,0.75,60.0,56.675,396.8,0.0
1678,GAME MEAT,MOOSE,71.69,118.0,25.755,0.855,1.31,0.0,0.0,0.0,5.5,3.715,23.5,167.0,325.5,67.0,3.24,0.07300000000000001,0.0085,11.2,4.5,0.055,0.30500000000000005,5.13,0.0,0.185,2.0,0.0,2.0,2.0,57.7,3.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.255,0.175,0.275,68.5,56.675,396.8,0.0
1679,GAME MEAT,MUSKRAT,62.464999999999996,198.0,25.425,9.92,1.4449999999999998,0.0,0.0,0.0,30.5,3.55,24.0,245.5,298.0,88.5,1.135,0.0945,0.016,11.95,6.0,0.08499999999999999,0.615,6.695,0.465,0.235,5.5,0.0,5.5,5.5,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,56.675,383.3,0.0
1680,GAME MEAT,OPOSSUM,58.3,221.0,30.2,10.2,2.3,0.0,0.0,0.0,17.0,4.64,34.0,278.0,438.0,58.0,2.28,0.189,0.0,18.2,0.0,0.1,0.37,8.43,0.0,0.47,10.0,0.0,10.0,10.0,116.5,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,1.6,1.206,3.773,2.983,129.0,85.0,399.0,0.0
1681,GAME MEAT,RABBIT,65.626,165.2,26.859999999999996,5.5680000000000005,1.134,0.0,0.0,0.0,16.4,2.8520000000000003,24.0,233.6,346.8,44.0,1.718,0.1372,0.018,25.060000000000002,0.0,0.06000000000000001,0.13200000000000003,7.151999999999999,0.4800000000000001,0.33,7.2,0.0,7.2,7.2,50.220000000000006,5.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.0,0.0,0.62,1.6620000000000001,1.504,1.0799999999999998,85.8,62.34000000000001,363.64,0.0
1682,GAME MEAT,RACCOON,54.3,255.0,29.2,14.5,1.5,0.0,0.0,0.0,14.0,7.1,30.0,261.0,398.0,79.0,2.27,0.189,0.0,18.0,0.0,0.59,0.52,4.68,0.0,0.47,11.0,0.0,11.0,11.0,115.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,1.7,4.07,5.21,2.09,97.0,85.0,399.0,0.0
1683,GAME MEAT,SQUIRREL,67.95,146.5,26.0,3.95,1.42,0.0,0.0,0.0,2.5,5.755,26.0,191.5,328.0,111.0,0.89,0.074,0.016,12.2,0.0,0.065,0.25,4.32,0.465,0.185,4.5,0.0,4.5,4.5,61.45,3.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.7,0.46,1.483,1.3115,102.0,56.675,383.3,0.0
1684,GAME MEAT BISON,GROUND,64.25,223.0,18.67,15.93,0.88,0.0,0.0,0.0,11.0,2.6,19.0,181.0,307.0,66.0,4.29,0.131,0.009,18.7,0.0,0.13,0.227,4.91,0.64,0.353,11.0,0.0,11.0,11.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,6.802,6.222,0.749,70.0,85.0,113.0,0.0
1685,GAME MEAT BISON,TOP SIRLOIN,65.1,171.0,28.05,5.65,1.17,0.0,0.0,0.0,5.0,3.47,27.0,253.0,387.0,53.0,5.11,0.211,0.013,41.2,0.0,0.227,0.447,5.57,1.345,0.557,18.0,0.0,18.0,18.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.412,2.206,0.266,86.0,85.0,194.0,8.0
1686,GARDENBURGER BLACK BEAN CHIPOTLE BURGER,FRZ,65.5,133.0,6.5,3.9,2.1,22.0,6.1,3.6,49.0,2.4,0.0,110.0,223.0,545.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.11,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,0.9,0.0,71.0,0.0,0.0
1687,GARDENBURGER FLAME GRILLED BURGER,FRZ,71.4,122.0,15.2,4.4,2.2,6.8,3.7,0.4,88.0,2.9,0.0,214.0,512.0,445.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,1.4,0.0,96.0,0.0,0.0
1688,GARDENBURGER ORIGINAL,FRZ,61.9,155.0,7.2,4.6,4.2,22.1,5.0,0.6,65.0,1.4,0.0,118.0,177.0,684.0,0.3,0.0,0.0,0.0,0.0,0.1,0.1,1.2,0.0,0.06,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.5,0.6,9.0,71.0,0.0,0.0
1689,GARDENBURGER SAVORY PORTABELLA VEGGIE BURGER,FRZ,65.5,138.0,5.9,3.3,3.2,22.1,7.1,1.2,67.0,0.7,0.0,98.0,176.0,633.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.1,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.7,4.0,71.0,0.0,0.0
1690,GARDENBURGER SUN-DRIED TOMATO BASIL BURGER,FRZ,65.5,137.0,5.5,3.6,1.7,23.7,5.2,2.6,50.0,1.2,0.0,48.0,78.0,387.0,0.1,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.8,4.0,71.0,0.0,0.0
1691,GARDENBURGER VEGGIE MEDLEY BURGER,FRZ,66.0,121.0,4.1,3.6,2.3,24.0,7.1,2.0,36.0,1.2,0.0,118.0,178.0,559.0,0.5,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.1,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,1.6,0.0,71.0,0.0,0.0
1692,GARLIC,RAW,58.58,149.0,6.36,0.5,1.5,33.06,2.1,1.0,181.0,1.7,25.0,153.0,401.0,17.0,1.16,0.299,1.672,14.2,31.2,0.2,0.11,0.7,0.596,1.235,3.0,0.0,3.0,3.0,23.2,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,0.08,0.0,0.0,1.7,0.089,0.011,0.249,0.0,136.0,2.8,13.0
1693,GARLIC BREAD,FRZ,31.78,350.0,8.36,16.61,1.54,41.72,2.5,3.69,27.0,3.05,23.0,87.0,103.0,544.0,0.87,0.108,0.441,16.6,0.2,0.462,0.184,4.142,0.66,0.083,186.0,50.0,136.0,221.0,8.5,0.08,44.0,13.0,13.0,0.0,0.0,0.0,0.0,25.0,1.18,0.2,9.0,29.5,5.281,4.669,5.437,0.0,43.0,59.0,0.0
1694,GARLIC POWDER,0,6.45,331.0,16.55,0.73,3.54,72.73,9.0,2.43,79.0,5.65,77.0,414.0,1193.0,60.0,2.99,0.533,0.979,23.9,1.2,0.435,0.141,0.796,0.743,1.654,47.0,0.0,47.0,47.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.4,0.249,0.115,0.178,0.0,3.1,9.7,0.0
1695,GEFILTEFISH,COMM,80.35,84.0,9.07,1.73,1.44,7.41,0.0,0.0,23.0,2.48,9.0,73.0,91.0,524.0,0.82,0.195,0.073,10.5,0.8,0.065,0.059,1.0,0.2,0.08,3.0,0.0,3.0,3.0,0.0,0.84,89.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.824,0.285,30.0,42.0,0.0,0.0
1696,GELATIN DSSRT,DRY MIX,28.065714285714286,247.42857142857142,20.560000000000002,0.0,1.912857142857143,49.46,0.014285714285714287,14.218571428571428,3.4285714285714284,0.05857142857142856,1.4285714285714286,422.7142857142857,289.85714285714283,693.0,0.024285714285714292,0.3284285714285714,0.018142857142857145,8.914285714285715,78.97142857142856,0.004142857142857143,0.04057142857142858,0.014,0.020714285714285716,0.015571428571428571,5.0,0.0,5.0,5.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.771428571428565,78.85714285714286,0.0
1697,GELATINS,DRY PDR,13.0,335.0,85.6,0.1,1.3,0.0,0.0,0.0,55.0,1.11,22.0,39.0,16.0,196.0,0.14,2.161,0.105,39.5,0.0,0.025,0.23,0.085,0.125,0.007,30.0,0.0,30.0,30.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.01,0.0,7.0,28.0,0.0
1698,GENERAL MILLS,BETTY CROCKER SUPERMOIST YEL CAKE MIX,4.2,413.0,3.8,8.1,2.6,81.3,0.0,43.9,161.0,0.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,43.0,0.0,0.0
1699,GEORGE WESTON BAKER,BROWNBERRY SAGE & ONION STUFFING MIX,4.0,390.0,13.3,5.1,4.9,72.7,5.4,0.0,0.0,3.81,0.0,0.0,0.0,1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.04,0.761,0.0,67.0,0.0,0.0
1700,GEORGE WESTON BAKERIES,THOMAS ENG MUFFINS,42.6,232.0,8.0,1.8,1.6,46.0,0.0,0.0,180.0,1.4,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.303,0.92,0.0,57.0,0.0,0.0
1701,GINGER,GROUND,9.94,335.0,8.98,4.24,5.22,71.62,14.1,3.39,114.0,19.8,214.0,168.0,1320.0,27.0,3.64,0.48,33.3,55.8,0.7,0.046,0.17,9.62,0.477,0.626,13.0,0.0,13.0,13.0,41.2,0.0,30.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.599,0.479,0.929,0.0,1.8,5.2,0.0
1702,GINGER ROOT,PICKLED,92.3,20.0,0.33,0.1,2.44,4.83,2.6,0.0,74.0,0.28,4.0,2.0,36.0,906.0,0.04,0.018,0.468,0.4,0.0,0.02,0.015,0.022,0.148,0.037,1.0,0.0,1.0,1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,2.2,0.037,0.02,0.034,0.0,25.0,0.0,0.0
1703,GINGER ROOT,RAW,78.89,80.0,1.82,0.75,0.77,17.77,2.0,1.7,16.0,0.6,43.0,34.0,415.0,13.0,0.34,0.226,0.229,0.7,5.0,0.025,0.034,0.75,0.203,0.16,11.0,0.0,11.0,11.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.1,0.203,0.154,0.154,0.0,2.0,24.0,7.0
1704,GINKGO NUTS,CANNED,72.95,111.0,2.29,1.62,1.04,22.1,9.3,0.0,4.0,0.29,16.0,54.0,180.0,307.0,0.21,0.166,0.068,0.5,9.1,0.133,0.054,3.623,0.097,0.198,33.0,0.0,33.0,33.0,0.0,0.0,337.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.599,0.597,0.0,155.0,28.35,41.0
1705,GINKGO NUTS,DRIED,12.4,348.0,10.35,2.0,2.8,72.45,0.0,0.0,20.0,1.6,53.0,269.0,998.0,13.0,0.67,0.536,0.22,0.0,29.3,0.43,0.176,11.732,1.345,0.641,106.0,0.0,106.0,106.0,0.0,0.0,1091.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381,0.739,0.737,0.0,28.35,0.0,24.0
1706,GINKGO NUTS,RAW,55.2,182.0,4.32,1.68,1.2,37.6,0.0,0.0,2.0,1.0,27.0,124.0,510.0,7.0,0.34,0.274,0.113,0.0,15.0,0.22,0.09,6.0,0.16,0.328,54.0,0.0,54.0,54.0,0.0,0.0,558.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319,0.619,0.618,0.0,28.35,0.0,24.0
