Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
cookies graham crackers,0.81292,438.6666667,5.466666667,14.03666667,74.13333333,28.33666667,3.766666667,0.666666667,0.126,0.033333333,0.033333333,1.12,112.3333333,3.319,0.234333333,0.329333333,184,0.187,2.956666667,37.33333333,0.494333333,145,17.03333333,0.773333333
cookies ladyfingers,1.78,364,10.6,9.1,59.7,12.695,1,85,0.122,0.75,1.85,0.315,90.5,2.104,0.428,0.284,47,0.095,3.58,12,0.24,173,10.55,1.14
cookies marshmallow,2.43,421,4,16.9,67.7,44.8,2,1,0.062,0.17,0.1,0.14,37,0.784,0.208,0.093,46,0.262,2.53,36,0.285,97,4.4,0.65
cookies molasses,0.730922078,430,5.6,12.8,73.8,17.6,1,0,0.104,0,0,0.11,146,3.031,0.264,0.355,74,0.373,6.43,52,1.257,95,5.6,0.45
cookies oatmeal,1.165384615,443.375,6.0375,18,66.4,7.03875,1.7125,40.375,0.0545,0.0325,0.2375,0.2225,60.375,1.86075,0.180625,0.251,59.625,0.202,2.69125,34.125,0.862,147.5,10.9125,0.7075
cookies oatmeal sandwich,0.837,398,2.61,18.29,55.62,31.36,2.6,1,0.046,0.01,0,2.21,56,1.146,0.111,0.236,0,0.137,1.88,35,0.824,94,6.8,0.67
cookies peanut butter,1.4105,481.5,8.476666667,25.925,55.77833333,4.763333333,1.583333333,29,0.091833333,0.038333333,0.016666667,1.173333333,90.66666667,3.8855,0.195833333,0.2295,50.66666667,0.155333333,1.88,40.33333333,0.405,166,8.7,0.785
cookies peanut butter sandwich,0.416333333,506.5,9.4,27.55,58.2,17.72,0.95,0.5,0.1085,0.12,0.05,0.935,81,4.499,0.2055,0.3355,48,0.252,2.575,50,0.8085,171,5.6,1.045
cookies raisin,0.22,401,4.1,13.6,68,47.56,1.2,2,0.052,0.03,0.4,2.22,48,1.967,0.206,0.216,46,0.413,2.29,21,0.305,83,2.8,0.32
cookies shortbread,0.22,528,5.135,29.36,61.04,10.825,1.55,0.5,0.0455,0.005,0,1.22,113,2.878,0.267,0.323,21.5,0.121,2.705,16,0.505,75.5,4.7,0.535
cookies sugar,0.395142857,464,4.9875,21.3825,63.54,28.16,1.05,67,0.035,0.0925,0.05,1.51,77,2.55225,0.18425,0.22825,51.5,0.05875,2.065,10,0.305,136.25,8.1,0.34
cookies vanilla wafers,0.354612903,457,4.65,17.3,72.35,18.75,1.95,4,0.0485,0.085,0,0.115,82,3.041,0.2645,0.318,36.5,0.112,2.295,13,0.323,84,11.3,0.345
crackers cheese,0.312895814,468,10.33,20.87833333,59.76666667,4.02,3.283333333,11.16666667,0.205833333,0.328333333,0.433333333,1.635,190,5.398833333,0.468666667,0.594666667,103.5,0.204666667,3.793333333,39.16666667,0.5045,233.3333333,17.8,1.111666667
crackers cream,0.359142857,474,7.1,19.935,64.715,9.89,2.4,0,0.0325,0.63,0,0.795,126.5,2.54,0.12,0.149,380,0.112,7.01,26.5,0.8115,99,4.75,2.385
crackers matzo,0.5435,382,11.35,2.225,79.575,0.0725,5.65,5,0.10975,0.1025,0.075,0.015,84.5,4.81825,0.40425,0.5245,28,0.16125,3.72,53.25,1.3925,157.75,44.05,1.1875
crackers melba toast,0.381422222,385.75,12.175,3.025,76.725,0.235,7,0,0.09625,0,0,0.1075,180.75,4.50675,0.28225,0.43025,76.75,0.311,3.895,53.25,1.0155,185,32.125,1.72
crackers milk,1.1035,455,7.6,15.8,69.7,16.44,1.9,16,0.037,0.08,0.2,1.22,142,4.43,0.418,0.538,172,0.227,3.58,22,0.552,303,15.9,0.67
crackers multigrain,0.487428571,482,7.1,20.4,67.6,12,3.5,0,0.117,0,0,1.75,143,3.4,0.28,0.52,14,0.151,2.59,29,0,292,26.1,0.98
crackers rusk toast,0.307333333,407,13.5,7.2,72.3,0,0,12,0.047,0.18,0,0,103,4.625,0.399,0.404,27,0.245,2.72,36,0.439,153,20.1,1.1
crackers rye,0.279,398.6666667,9.266666667,10.8,71.66666667,0.336666667,15.8,8,0.179,0.04,0.2,0.266666667,74.66666667,2.541666667,0.335333333,0.451666667,102,0.350666667,3.81,88,2.790666667,326.6666667,25.7,2.016666667
crackers saltines,0.653733333,411.5,9.085,8.24,74.0975,0.65,2.15,0,0.099,0.0225,0,0.6075,182.75,5.15625,0.402,0.53975,65,0.1915,5.8475,37,0.916,131.25,13.4,0.9975
crackers saltines includes oyster,0.325333333,418,9.46,8.64,74.05,1.29,2.8,1,0.086,0.09,0,1.15,216,6.442,0.487,0.702,19,0.139,5.57,23,0.686,102,10.3,0.69
crackers snack,0.559865,433,14.25,13.35,64.35,2.35,3.8,0,0,0,0,0,0,0,0,0,16,0.155,5.66,39,0.625,145,0,1.17
crackers standard snack type,0.426583333,489.2,8.42,23.042,62.15,6.816,2.6,3.6,0.0986,0.022,0.02,2.048,114.8,4.5466,0.3992,0.4158,149,0.184,3.288,36.6,0.6074,302.4,10.86,0.806
crackers wheat,0.286104167,472.8,9.708,20.414,63.83,8.706,4.46,4.2,0.1856,0.052,0.3,0.646,99.6,4.6336,0.2926,0.4322,119,0.206,3.47,54.6,1.4482,301.8,20.02,1.334
crackers whole wheat,0.338023367,428.6666667,10.24,12.97333333,71.22333333,0.926666667,10.56666667,0,0.188333333,0,0,1.116666667,28.66666667,4.791333333,0.047666667,0.189333333,41.66666667,0.437,3.326666667,109.6666667,2.228,330,12.96666667,2.59
cream puff eclair,0.270666667,334,4.41,18.52,37.43,22.05,0.9,23,0.041,0.17,0,0.95,100,1.908,0.241,0.263,35,0.06,0.95,10,0.224,71,15.5,0.45
cream puff shell prepared from recipe,0.448666667,362,9,25.9,22.8,0.43,0.8,278,0.075,0.39,0,2.81,75,1.567,0.36,0.206,36,0.051,2.02,12,0.211,119,24,0.73
croissants apple,0.52,254,7.4,8.7,37.1,0,2.5,94,0.032,0.2,0.5,0,88,1.6,0.164,0.232,30,0.04,1.1,13,0.21,58,19,1.03
croissants butter,0.586405556,406,8.2,21,45.8,11.26,2.6,206,0.058,0.16,0.2,0.84,130,2.188,0.241,0.388,37,0.08,2.03,16,0.33,105,22.7,0.75
croissants cheese,0.421,414,9.2,20.9,47,11.35,2.6,204,0.073,0.32,0.2,1.44,103,2.16,0.325,0.523,53,0.1,2.15,24,0.34,130,26.8,0.94
croutons plain,0.638995,407,11.9,6.6,73.5,0,5.1,0,0.026,0,0,0,209,5.439,0.272,0.623,76,0.163,4.08,31,0.5,115,37.5,0.89
croutons seasoned,0.9,465,10.8,18.3,63.5,4.41,5,7,0.083,0.14,0,0.4,151,4.646,0.421,0.506,96,0.168,2.82,42,0.514,140,28.8,0.94
danish pastry cheese,0.6385,374,8,21.9,37.2,6.95,1,35,0.04,0.2,0.1,0.35,85,2,0.26,0.19,35,0.089,1.8,15,0.351,108,18.9,0.7
danish pastry cinnamon,0.632,403,7,22.4,44.6,9.89,1.25,5,0.038,0.1,0.15,0.195,62.5,1.9835,0.1815,0.24,71,0.1,1.37,19,0.362,107,8.5,0.72
danish pastry fruit,0.675212119,371,5.4,18.5,47.8,13.765,1.9,18.5,0.0415,0.11,3.9,0.17,42,1.3805,0.156,0.164,46,0.065,1.26,15,0.253,89,7.4,0.54
danish pastry lemon,0.532970588,371,5.4,18.5,47.8,0,1.9,53,0.04,0.09,3.9,0,16,0.769,0.092,0.065,46,0.065,0.75,15,0.253,89,0,0.54
danish pastry nut includes almond,0.793285714,430,7.1,25.2,45.7,25.87,2,9,0.104,0.21,1.7,0.82,122,2.3,0.24,0.22,94,0.195,1.8,32,0.845,110,14.2,0.87
danish pastry raspberry,0.855,371,5.4,18.5,47.8,0,1.9,60,0.04,0.09,3.9,0,16,0.769,0.092,0.065,46,0.065,0.75,15,0.253,89,0,0.54
doughnuts cake type,0.7006,432.25,4.985,23.245,51.6475,19.18,1.825,5.75,0.032,0.125,0.375,1.055,92.25,1.6205,0.1735,0.20775,84.25,0.1605,2.465,24.5,0.41925,187.25,7.65,0.6225
english muffins mixed grain,0.964033333,255,9.9,1.9,50.3,0.88,3,0,0.103,0,0,0,95,3.505,0.307,0.374,213,0.254,3.29,48,0.823,162,27.7,1.05
english muffins mixed grain includes granola,0.41,235,9.1,1.8,46.3,0.81,2.8,0,0.038,0,0,0,112,3.583,0.313,0.43,196,0.243,3.02,41,0.604,81,25.5,1.39
english muffins plain,0.88,240.4,8.458,1.822,46.964,1.4,2.88,0,0.05,0.042,0.72,0.134,97.2,3.2152,0.2238,0.3644,127.6,0.1364,2.586,23,0.4412,119.6,9.74,0.91
english muffins raisin cinnamon,0.671229546,276,8.87,2.21,55.04,13.34,3,0,0.062,0,1.4,0.36,131,4.285,0.245,0.518,139,0.175,4.9,28,0.72,108,24.3,1
english muffins raisin cinnamon includes apple cinnamon,0.674285714,240,7.91,1.8,48.1,14.76,2.6,0,0.066,0,1.3,0.31,112,3.67,0.215,0.412,114,0.16,4.5,23,0.575,91,21.6,0.97
english muffins wheat,0.673333333,233,9.05,2.05,46.75,1.63,4.8,0,0.0925,0,0,0.47,80,3.3195,0.289,0.403,185.5,0.1555,2.995,39.5,1.0605,116,30.5,1.145
english muffins whole wheat,0.732427113,212,9.2,2.2,42.25,8.44,7,0,0.161,0,0,0.425,47,3.373,0.1385,0.2805,276.5,0.2185,2.555,74,1.868,294.5,42.05,1.67
focaccia italian flatbread,1.03,249,8.77,7.89,35.82,1.75,1.8,0,0.113,0,0,1.42,175,3.67,0.301,0.47,35,0.091,3.16,20,0.364,128,15.9,1.33
french toast frozen,0.58075,213,7.4,6.1,32.1,0,1.1,54,0.496,1.68,0.3,0,72,2.722,0.381,0.277,107,0.084,2.21,17,0.245,139,16.7,0.77
french toast prepared from recipe,0.604106,229,7.7,10.8,25,0,0,124,0.074,0.31,0.3,0,57,1.628,0.321,0.204,100,0.058,1.67,17,0.188,117,20.1,0.67
girl scouts caramel dulce de leche cookies,0.30525,520,5.1,27.1,64.8,29.6,1.3,0,0.02,0,0,0,0,2.8,0.25,0.37,0,0,2.3,11,0,58,0,0.4
girl scouts do si dos cookies,1.775150017,478,8.1,21.4,66,31.1,3.7,0,0,0,0,0,0,10.2,0.15,0.26,0,0,3.4,0,0,31,0,0
girl scouts thank u berry munch cookies,1.902,491,4.6,21.6,70,28.9,1.8,0,0,0,0,0,0,2.6,0.21,0.31,0,0,2.3,2,0,42,0,0
girl scouts thin mints cookies,1.556281515,502,4.5,24.2,67.3,32,2.3,0,0,0,0,0,0,2.5,0.19,0.29,0,0,3,25,0,75,0,0.3
garlic bread frozen,0.636666667,350,8.36,16.61,41.72,3.69,2.5,13,0.083,0.08,0.2,1.18,221,4.142,0.184,0.462,27,0.108,3.05,23,0.441,87,16.6,0.87
hush puppies prepared from recipe,1.0674,337,7.7,13.5,46,2.03,2.8,41,0.102,0.19,0.2,1.26,137,2.782,0.332,0.352,278,0.066,3.04,24,0.22,189,15.8,0.66
ice cream cones cake or wafer type,0.47,417,8.1,6.9,79,6,3,0,0.03,0,0,0.78,291,4.427,0.354,0.25,25,0.204,3.6,26,0.572,97,4.8,0.67
ice cream cones sugar,0.8,402,7.9,3.8,84.1,25.66,1.7,0,0.052,0,0,0.07,236,5.066,0.405,0.511,44,0.268,4.43,31,0.732,103,4.8,0.75
kraft stove top stuffing mix chicken flavor,0.885333333,381,12.6,4.1,73.1,10.1,2.5,0,0,0,3.3,0,0,3.84,0.29,0.39,63,0,4.32,0,0,129,0,0
leavening agents baking powder,1.6025,67,0.066666667,0.133333333,32.9,0,0.866666667,0,0,0,0,0,0,0,0,0,5857.333333,0.014,10.15333333,31.66666667,0.148333333,6326,0.2,0.25
leavening agents baking soda,1.748666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
leavening agents cream of tartar,2.535572141,258,0,0,61.5,0,0.2,0,0,0,0,0,0,0,0,0,8,0.195,3.72,2,0.205,5,0.2,0.42
leavening agents yeast,1.1595,215,24.42,4.755,29.66,0,17.5,0,0.965,0.04,0.2,0,1562.5,26.25,2.565,6.435,24.5,0.292,2.71,47,0.256,486.5,8,8.955
mission foods mission flour tortillas,0.8,287,8.7,6,49.6,0,0,0,0,0,0,0,0,0,0,0,191,0,1.99,0,0,0,0,0
muffin blueberry,0.88,255,4.23,4.22,50.05,27.05,4.2,10,0.042,0.16,0.9,0.39,73,1.375,0.175,0.163,35,0.08,2,10,0.785,125,9.8,1.27
muffins blueberry,0.24620978,319.8,4.794,9.944,52.94,16.4,1.24,51,0.044,0.066,0.94,0.704,68.6,1.888,0.2504,0.2232,55.6,0.0804,1.248,13.2,0.375,152.4,12.94,0.422
muffins corn,0.29,322,6.425,10.55,50.55,4.445,1.85,27.75,0.08275,0.11,0.1,0.2,93.75,2.2075,0.3205,0.28375,106.75,0.12325,2.2075,22.5,0.2605,249,14.75,0.545
muffins oat bran,0.35,270,7,7.4,48.3,8.22,4.6,0,0.161,0.01,0,0.66,139,0.42,0.095,0.262,63,0.33,4.2,157,2.63,376,11,1.84
muffins plain,2.587644531,296,6.9,11.4,41.4,0,2.7,40,0.042,0.15,0.3,0,78,2.308,0.301,0.284,200,0.069,2.39,17,0.296,153,18,0.56
muffins wheat bran,2.694285714,354.5,6.3,10.7,64.25,11.535,4.1,28,0.169,0.01,0,0.49,87,3.6585,0.2835,0.282,37.5,0.16,3.215,54,1.5495,382,19.15,0.97
nabisco nabisco grahams crackers,4.6,424,6.99,10,76.2,23,3.4,0,0.1,0,0,0,0,3.78,0.24,0.228,79,0.03,4.13,59,0,202,0,1.94
nabisco nabisco oreo crunchies,2.885058419,476,4.78,21.5,70.23,36,3.2,0,0.032,0.02,0,0,0,1.845,0.165,0.122,24,0.27,4.9,48,0,103,0,1.23
nabisco nabisco ritz crackers,0.32,492,7.23,23.21,63.51,8.14,2.3,0,0.06,0,0,3.49,111,4.88,0.265,0.442,154,0.124,4.47,19,0.54,273,4.6,0.61
pancakes blueberry,2.9,222,6.1,9.2,29,0,0,50,0.049,0.2,2.2,0,53,1.524,0.272,0.195,206,0.055,1.72,16,0.237,151,14,0.54
pancakes buckwheat,1.175,340,10.9,2.7,71.3,7.21,8.5,0,0.438,0,0,0.48,66,4.095,0.249,0.542,476,0.415,4.73,190,1.656,913,13.1,2.55
pancakes buttermilk,0.941238095,227,6.8,9.3,28.7,0,0,30,0.045,0.18,0.4,0,56,1.577,0.292,0.204,157,0.052,1.7,15,0.203,139,15.1,0.62
pancakes plain,1.7714,267.1428571,7.251428571,4.475714286,48.82857143,4.838571429,2.142857143,51.14285714,0.130428571,0.168571429,0.157142857,0.145714286,93.57142857,2.691142857,0.289285714,0.341857143,196.4285714,0.079857143,2.094285714,21.28571429,0.261857143,367.5714286,14.58571429,0.602857143
pancakes special dietary,0.96671954,349,8.9,1.4,73.9,0,0,6,0.037,0,0,0,172,3.27,0.209,0.37,99,0.137,3.05,47,0.578,596,25.1,1.19
pancakes whole wheat,0.398135926,276,10.65,4,50.2,0,1.4,33,0.1685,0.145,0.25,0,68.5,4.538,0.806,0.383,349.5,0.32,5.475,75,1.891,577.5,28.7,1.5
pancakes plain frozen,0.482666667,233,5.23,6.83,37.75,8.32,1,453,0.52,2.8,0.3,0.62,110,6.357,0.38,0.7,78,0.072,5.67,14,0.285,215,10.8,0.4
pie dutch apple,0.245,290,2.17,11.5,44.54,22.02,1.6,18,0.039,0,5.7,0.96,32,1.094,0.067,0.193,14,0.148,0.91,8,0.233,29,2.2,0.19
pie apple,0.228875,246.3333333,2.066666667,11.5,35.03333333,5.216666667,1.066666667,24,0.036,0.006666667,2.7,0.506666667,28.33333333,0.872,0.097333333,0.103333333,9.666666667,0.048333333,0.926666667,7,0.183,25.33333333,2.933333333,0.17
pie banana cream,0.674,260,3.9,13.25,32.25,6.03,0.65,78,0.084,0.23,1.05,0.2,34.5,0.8815,0.1765,0.1205,74,0.0475,0.75,14,0.1295,129.5,7,0.405
pie blueberry,0.239483333,238.5,2.25,10.95,34.2,4.945,0.5,23,0.0355,0.005,1.7,0.52,39.5,0.747,0.081,0.0815,7.5,0.0565,0.765,6.5,0.238,26.5,4.4,0.18
pie cherry,0.15379,265,2.4,11.6,39.15,7.145,0.4,40.5,0.0375,0.005,0.95,0.38,40.5,0.738,0.077,0.0855,11,0.0585,1.165,8.5,0.17,29.5,4.5,0.19
pie chocolate creme,0.29,353,4.15,22.41,38.44,27.39,0.8,46,0.02,0.12,0,1.09,28,0.605,0.14,0.087,66,0.118,1.49,19,0.161,79,6,0.44
pie chocolate mousse,0.35,260,3.5,15.4,29.6,0,0,124,0.029,0.21,0.5,0,42,0.595,0.147,0.051,77,0.203,1.08,32,0.125,231,6.1,0.6
pie coconut cream,0.33,276,2.8,17.6,28.5,0,0.5,95,0.045,0.21,0.6,0,23,0.132,0.104,0.028,72,0.08,0.4,17,0.19,169,5,0.38
pie coconut creme,0.669368421,298,2.1,16.6,37.3,18.52,1.3,27,0.068,0.12,0,0.15,8,0.2,0.08,0.05,29,0.068,0.8,20,0.438,85,5.3,0.47
pie coconut custard,0.3188,260,5.9,13.2,30.2,0,1.8,26,0.011,0.09,0.6,0,19,0.403,0.148,0.088,81,0.063,0.8,18,0.21,122,6.4,0.68
pie egg custard,0.32,210,5.5,11.6,20.8,11.58,1.6,57,0.048,0.43,0.6,0.94,20,0.292,0.208,0.039,80,0.024,0.58,11,0.06,112,7.1,0.52
pie fried pies,0.315354178,316,3,16.1,42.6,7.133333333,2.6,5.333333333,0.03,0.08,0.866666667,0.573333333,29,1.425,0.106,0.141,22,0.047,1.22,10,0.224,43,2.4,0.23
pie lemon meringue,0.454584,276.5,2.65,10.8,43.15,11.93,0.6,47,0.0285,0.145,3.25,0.53,35.5,0.7965,0.184,0.09,34,0.0215,0.805,10.5,0.094,73.5,7.3,0.385
pie mince,0.48,289,2.6,10.8,48,28.31,2.6,1,0.065,0,5.9,0.15,36,1.189,0.105,0.15,22,0.113,1.49,14,0.263,42,6.6,0.22
pie peach,0.57904,224,1.9,10,32.9,16.23,0.8,10,0.023,0,0.9,0.94,46,0.2,0.033,0.061,8,0.053,0.5,6,0.152,22,1.3,0.09
pie pecan,0.38467623,409.5,4.7,19.445,55.905,12.59,1.05,66.5,0.049,0.145,0.1,0.4,38.5,1.0785,0.129,0.196,27,0.1975,1.205,24,0.711,88.5,9.5,0.945
pie pumpkin,0.484513725,223.5,4.2,9.525,30.615,9.44,0.9,437,0.055,0.22,0.85,0.38,32.5,0.9445,0.1625,0.1345,79,0.107,1.085,16.5,0.2125,89.5,6.25,0.425
pie vanilla cream,0.6926075,278,4.8,14.4,32.6,12.68,0.6,83,0.049,0.3,0.5,0.45,37,0.984,0.216,0.139,90,0.039,1.02,13,0.128,104,9.5,0.53
pie crust cookie type,0.651639344,492.5,5.59,23.625,64.39,22.22,2.3,0,0.0595,0,0,1.82,102.5,3.1465,0.239,0.26,30.5,0.4965,3.45,31.5,1.56,118.5,2.55,1.675
pie crust cookie type,0.814416667,507.5,3.9,30.3,57.05,22.45,0.8,230,0.0435,0.055,0.05,2.67,66,2.102,0.2005,0.1455,31,0.095,1.875,14,0.3155,71,6.8,0.35
pie crust deep dish,1.804666667,494.5,5.81,30.29,49.63,0,1.85,0,0.0435,0,0,1.315,127.5,2.6835,0.1365,0.245,21.5,0.084,2.365,16,0.5045,72.5,4.75,0.49
pie crust refrigerated,8.93,475.5,3.19,27.075,54.815,0,1.6,0,0.02,0,0,0.05,42,1.215,0.0445,0.1035,11,0.048,1.085,8.5,0.195,48.5,4.25,0.21
pie crust standard type,3.289318182,491,6.037142857,30.15142857,48.75142857,1.321428571,1.942857143,0,0.047571429,0.004285714,0,0.227142857,101.2857143,2.578571429,0.179571429,0.294142857,28.28571429,0.080142857,2.23,14.85714286,0.346,72,13.91428571,0.411428571
popovers dry mix,7.560333333,371,10.4,4.3,71,0,0,0,0.042,0.08,0.1,0,127,2.2095,0.0865,0.2655,32,0.1725,1.895,25,0.741,100,18.8,0.88
puff pastry frozen,4.012083333,554.5,7.35,38.3,45.4,0.745,1.5,0,0.02,0,0,0.545,105.5,3.984,0.2705,0.3605,10,0.1145,2.58,16,0.4915,60,24.35,0.535
sunshine cheez it,8.0086,486.7619048,9.733333333,22.19285714,62.85952381,1.188095238,2.571428571,64.66666667,0.018095238,0,0,0,0,4.39047619,0.33,0.53952381,54.23809524,0,4.080952381,15.38095238,0,69.23809524,0,0.34047619
sunshine krispy,3.246666667,416,8.6,9.3,76.1,2.4,2.6,0,0,0,0,0,0,6,0.45,0.71,0,0,4.9,19,0,81,0,0
strudel apple,10.11637778,274,3.3,11.2,41.1,25.75,2.2,6,0.046,0.22,1.7,1.42,44,0.33,0.025,0.04,15,0.03,0.42,9,0.19,33,6.1,0.19
toaster pastries fruit,2.210666667,385,4.01,9.02,71.83,31,1.8,202,0.495,0.01,0,0.74,115,6.174,0.495,0.519,12,0.062,4.35,11,0.322,71,3.4,0.36
toaster pastries brown sugar cinnamon,2.054663768,370,4.06,7.98,72.64,27.24,2.3,0,0.58,0,0,1.33,0,7.23,0.6,0.66,293,0.098,5.62,18,0.534,84,3.5,0.55
toaster pastries fruit,6.13,409,4.7,11.03,72.7,28.99,1,467,0.465,0,0,0.9,76,5.25,0.415,0.365,11,0.068,3.92,12,0.332,76,5.1,0.38
toaster pastries fruit includes apple,1.4,388,4.2,9.95,70.32,26.13,1,202,0.52,0,0,0.9,174,6.791,0.558,0.649,16,0.069,5.51,12,0.324,87,3.1,0.38
tortillas ready to bake or  fry,6.94,277.5,7.633333333,5.943333333,48.86333333,1.553333333,4.916666667,0,0.146333333,0,0,0.371666667,152.6666667,3.2065,0.163,0.423166667,138.1666667,0.1775,2.525,48.16666667,0.366166667,250.1666667,18.91666667,1
waffle buttermilk,3.799502405,299,7.17,9.445,46.275,4.455,2.5,433,1.1075,2.03,0,0.655,103,7.336,0.6715,0.5695,212,0.05,6.56,21,0.229,427,10.2,0.53
waffle plain,3.59096,298,6.71,9.91,45.41,5.04,2.4,0,1.016,2.18,0,0.95,106,7.785,0.655,0.544,197,0.038,5.81,25,0.154,410,12.8,0.45
waffles buttermilk,10.09044444,273,6.58,9.22,41.05,4.3,2.2,401,0.972,2.86,0,0.62,96,6.675,0.665,0.499,279,0.04,6.04,19,0.215,388,9.5,0.48
waffles chocolate chip,5.4,297,5.8,10.1,45.68,13.1,1.5,429,0.57,1.7,0,0,117,5.7,0.49,0.43,357,0.221,6.4,16,0.393,272,13.1,0.4
waffles plain,12.838,296,7.186666667,11.13666667,41.72333333,3.31,1.533333333,281.3333333,0.666,2.026666667,0.133333333,0.676666667,98.33333333,6.178666667,0.557,0.469333333,290,0.045333333,4.943333333,22,0.263,326.6666667,23.66666667,0.6
waffles whole wheat,3.645946032,257,7.14,3.57,49.16,4.29,4.3,155,0.571,1.71,0,0.41,88,5.714,0.486,0.429,143,0.193,6.43,65,1.711,286,30.5,1.17
beef australian,4.676625,293.8333333,17.04366667,24.98233333,0.180666667,0,0,6.466666667,0,0,0,0,0,0,0,0,4.133333333,0,1.775,0,0,0,0,0
beef new zealand,2.6632,212.1891892,23.15243243,13.15108108,0.300540541,0,0,678.7567568,0.211391892,4.896891892,0,0.622702703,0,3.529932432,0.268135135,0.07322973,9.662162162,0.39172973,2.417297297,19.45945946,8.622013514,184.8783784,6.381081081,3.789594595
beef bottom sirloin,3.088333333,171.5,23.13,8.146,0,0,0,0,0.5705,1.228,0,0.34,10.5,6.7791,0.1155,0.0678,21.9,0.0737,1.587,21.9,0.0108,198.6,26.9,4.159
beef brisket,2.260802469,220.2121212,25.56424242,12.42090909,0.003636364,0,0,0.545454545,0.390212121,2.136969697,0,0.283030303,7.545454545,4.530909091,0.177424242,0.070151515,13.09090909,0.094363636,2.303333333,21.09090909,0.010636364,198.9090909,25.75151515,6.09969697
beef carcass,3.72,284.5,17.4,23.3,0,0,0,0,0.33,2.68,0,0,7,3.54,0.165,0.08,8,0.069,1.84,17,0.013,155,17,3.58
beef chuck,1.305,206.0782609,25.11008696,11.26747826,0.038434783,0,0,1.826086957,0.379469565,3.42,0,0.172956522,6.826086957,3.865130435,0.22673913,0.084330435,11.09565217,0.103947826,2.714608696,21.87826087,0.01213913,202.4956522,28.74782609,7.965043478
beef chuck eye country style ribs,1.111666667,217.75,24.80416667,13.18166667,0,0,0,4,0.31425,3.160833333,0,0.1225,5.25,4.012333333,0.199166667,0.069,15.41666667,0.093333333,2.423333333,17.66666667,0.014416667,186.5,26.65,8.4275
beef chuck eye roast,1.04,183.1666667,22.78416667,10.2175,0,0,0,3.583333333,0.395,2.956666667,0,0.1475,4.583333333,4.512,0.170166667,0.069333333,18.16666667,0.069083333,2.243333333,20.58333333,0.011666667,196.5,24.275,8.5125
beef chuck eye steak,0.895,214.1818182,23.66818182,13.28272727,0,0,0,3.727272727,0.388090909,3.067272727,0,0.127272727,4.909090909,4.814181818,0.183181818,0.070636364,15.72727273,0.075818182,2.451818182,22.18181818,0.011727273,202.5454545,25.95454545,8.875454545
beef chuck for stew,2.14,158.8333333,27.08,5.596666667,0.081666667,0,0,1.833333333,0.540166667,2.516666667,0,0.135,5.666666667,4.676666667,0.2145,0.0775,14.66666667,0.104333333,2.545,21.66666667,0.015333333,221,29.31666667,6.901666667
beef cured,1.9925,326,19.1625,26.77,0.6775,0,0,0,0.25,2.125,12.75,0.1125,6,4.0325,0.17675,0.05475,7,0.1095,1.98,16,0.01725,144.5,26.125,4.0475
beef flank,14.278,180.5,25.00285714,8.186428571,0,0,0,0,0.556,1.622142857,0,0.352857143,10.35714286,6.750214286,0.131214286,0.080785714,19.57142857,0.083357143,1.905714286,22.85714286,0.012,214.3571429,28.57857143,4.629285714
beef grass fed,4.375,154.5,21.245,7.71,0,0,0,0,0.503,1.62,0,0.285,9.5,5.7605,0.139,0.0505,10.5,0.0655,1.92,21,0.0095,193.5,17.65,4.08
beef ground,2.6625,218.8809524,24.62095238,12.85547619,0.016190476,0,0,3.214285714,0.375380952,2.583571429,0,0.135952381,8.166666667,5.45552381,0.173428571,0.042571429,18.07142857,0.081404762,2.619047619,21.4047619,0.01152381,201.4285714,20.13333333,6.01
beef loin,2.14,182.2,25.41186667,8.7332,0.0576,0,0,3,0.603226667,3.018666667,0,0.1564,5.213333333,5.766346667,0.270653333,0.066333333,12.4,0.082933333,2.553466667,18.61333333,0.004653333,228.9866667,25.64,4.8112
beef plate,2.14,228.25,25.12,13.4025,0,0,0,0,0.405,3.9975,0,0.1075,7.25,4.02225,0.1925,0.104,10.75,0.091,2.71,24.25,0,225.25,19.25,6.4725
beef plate steak,2,229,24.11541667,14.70833333,0.06875,0,0,4.041666667,0.443,4.59125,0,0.115833333,4.958333333,5.290041667,0.515083333,0.092708333,6.583333333,0.144041667,3.225833333,22.25,0.143791667,163.375,28.80833333,6.6075
beef rib,19.302,297.4594595,22.61851351,22.36567568,0.048378378,0,0,0.77027027,0.383432432,2.337702703,0,0.110810811,6.783783784,4.5085,0.1765,0.078054054,13.60810811,0.077986486,2.077972973,20.72972973,0.010621622,180.5135135,22.84189189,5.028918919
beef rib eye,0.937942857,210.6666667,25.46333333,11.34,0,0,0,0,0.495,1.853333333,0,0.296666667,7.666666667,6.060666667,0.147666667,0.077,17.33333333,0.078,1.796666667,22.33333333,0.010666667,197.3333333,25.36666667,5.09
