Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
bread cracked wheat,1.970555556,260,8.7,3.9,49.5,0,5.5,0,0.304,0.02,0,0,76,3.671,0.24,0.358,43,0.222,2.81,52,1.371,153,25.3,1.24
bread egg,1.410825,301,10,6.3,50.2,1.86,2.4,66,0.064,0.105,0,0.275,129,4.8215,0.434,0.4115,97.5,0.17,3.19,20,0.5245,111.5,31.5,0.825
bread french or vienna,1.169911429,319,13,2.14,61.93,3.59,3.1,0,0.096,0,0.2,0.19,217,5.38,0.37,0.427,47,0.15,3.87,31,0.573,126,29.7,1.05
bread french or vienna includes sourdough,1.1465,272,10.75,2.42,51.88,4.62,2.2,0,0.107,0,0,0.21,170,4.817,0.427,0.71,52,0.152,3.91,32,0.577,105,28.6,1.04
bread irish soda,1.6,290,6.6,5,56,0,2.6,48,0.083,0.05,0.8,0,73,2.405,0.269,0.298,81,0.13,2.69,23,0.355,114,16,0.57
bread italian,1.355,271,8.8,3.5,50,0.83,2.7,0,0.048,0,0,0.29,304,4.381,0.292,0.473,78,0.191,2.94,27,0.464,103,27.2,0.86
bread naan indian bread,0.267,288.5,9.91,6.175,48.32,3.475,3.5,1,0.1115,0,0,1.055,8,4.71,0.345,0.478,71.5,0.1435,2.49,47.5,0.957,144,19.65,1.025
bread oat bran,1.35,247.5,10.9,4.6,41.75,8.08,4.7,2,0.0565,0,0,0.46,112,4.8045,0.3445,0.4735,68,0.1315,3.275,34.5,0.7695,128.5,31.5,0.97
bread oatmeal,1.62,280.5,8.8,4.6,50.6,8.49,4.15,5,0.0675,0.025,0.15,0.505,81,3.102,0.2375,0.373,69,0.218,2.82,39,0.981,131.5,25.65,1.065
bread pan dulce,0.4179028,367,9.42,11.58,56.38,12.5,2.3,5,0.057,0.11,1.2,0.29,155,3.463,0.23,0.377,86,0.121,2.87,24,0.46,94,26.2,0.84
bread paratha indian bread,0.41262018,326,6.36,13.2,45.35,4.15,9.6,2,0.08,0,0,1.35,10,1.83,0.076,0.11,25,0.146,1.61,37,1.054,120,7.1,0.82
