,Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Cluster_ID
54,infant formula mead johnson,2.98,0.2743961352222222,0.10593158287302121,0.1271934783,0.31155634308603275,0.4298236908527638,0.0,0.23111360986590038,0.14116725405405403,0.010272504591549296,0.1599199084736842,0.5139850457006369,0.045022608697600004,0.10436604556190476,0.06997348878048781,0.030944900543900547,0.047369085200738056,0.06897438687701685,0.25858829845679016,0.11226633057971014,0.004190486936877701,0.02931311770471072,0.03538771851030928,0.2189902982644628,14
55,infant formula nestle,2.71,0.22928571433333333,0.08460039456045806,0.1004928571,0.2781260884709161,0.29053597635741074,0.0,0.17097701149425287,0.12181467207207206,0.008068410464788733,0.11296992478947368,0.48009554140127386,0.034788571430400005,0.0920244897904762,0.05928571439024391,0.02443112447552448,0.034169620494774046,0.06707473252061671,0.21865079364197532,0.09178743961352656,0.0,0.01929677973442934,0.02352724594845361,0.14616292801652894,14
56,toddler formula mead johnson,1.685,0.3138888888888889,0.12445267766924889,0.15265,0.3667711598746082,0.49062449046143813,0.0,0.24616858237547892,0.1536036036036036,0.012183098591549296,0.14,0.42754777070063693,0.05024000000000001,0.11398095238095239,0.10317073170731708,0.043123543123543134,0.06257113590158042,0.08981713875941197,0.3200617283950617,0.10869565217391304,0.0,0.040230793550426816,0.04097938144329897,0.2140495867768595,14
57,artificial blueberry muffin mix dry,1.15,0.45222222222222225,0.0791512293701583,0.087,0.8992221061186579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
58,bear naked double chocolate cookies,1.84,0.47,0.11114853486022228,0.16899999999999998,0.7767328456983631,0.5739442360997881,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,0.011428571428571429,0.009756097560975611,0.01087801087801088,0.0,0.0,0.22839506172839508,0.2608695652173913,0.0,0.013910844135314576,0.0,0.06611570247933884,0
59,bear naked fruit and nut cookies,3.837506911,0.4922222222222222,0.1263051532502526,0.214,0.715197956577267,0.4793738790151639,0.3463414634146341,0.0,0.05405405405405404,0.0,0.0,0.14331210191082802,0.0,0.01904761904761905,0.021951219512195124,0.013986013986013988,0.0,0.0,0.12962962962962965,0.178743961352657,0.0,0.0135946885867847,0.0,0.049586776859504134,0
60,bagel wheat,2.3159,0.2777777777777778,0.17177500842034352,0.015300000000000001,0.567630326251016,0.09978803195825861,0.19999999999999998,0.0,0.1324324324324324,0.0,0.0,0.05095541401273885,0.06912,0.1283809523809524,0.050975609756097565,0.06262626262626264,0.0034145231051339927,0.06274650412334169,0.17037037037037037,0.24637681159420288,0.16585453011388074,0.022447043945621248,0.1479381443298969,0.09090909090909093,32
61,biscuits mixed grain,2.8975,0.2922222222222222,0.10272819131020544,0.055999999999999994,0.5503308951584814,0.0,0.0,0.0,0.05855855855855856,0.0,0.0,0.0,0.08512,0.12952380952380954,0.051219512195121955,0.060606060606060615,0.002902344639363894,0.041233416995338834,0.1697530864197531,0.14492753623188406,0.07643226247905414,0.03730635472652545,0.0,0.049586776859504134,4
62,biscuits plain or buttermilk,2.303482143,0.3686111111111111,0.11883209834961266,0.112075,0.5873969580866133,0.09827979781509864,0.08597560975609757,0.0035919540229885057,0.04369369369369369,0.0015316901408450705,0.0007236842105263158,0.05851910828025477,0.07568000000000001,0.13142380952380953,0.07435975609756099,0.06625874125874127,0.01645373321286443,0.03504840444603801,0.1642746913580247,0.09178743961352656,0.04259445887015574,0.06777584571609233,0.07106958762886598,0.041219008264462814,19
63,bread multi grain,0.99412,0.32,0.244526776692489,0.046,0.5469638917914781,0.11315832382194686,0.3951219512195122,0.0,0.25765765765765763,0.0,0.0005263157894736842,0.06369426751592357,0.044800000000000006,0.1673904761904762,0.03463414634146342,0.03776223776223776,0.018950603233493662,0.110075295804948,0.16790123456790126,0.4106280193236715,0.2552767977487074,0.03904521024343977,0.1845360824742268,0.1528925619834711,27
