,Typology,Sub-typology,Item,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
51,LEGUME FLOUR,-,soy meal,2,0.62,0.62,0.28,0.34,0.9,0.28,0.48,0.76,0.4516129032,-,-,-,R,G,R,TYPOLOGY
52,LEGUMES CANNED,-,beans in can,1,0.109,0.109,-,0.109,0.109,-,0.109,0.109,-,-,-,n.a.,R,G,R,TYPOLOGY
53,LEGUMES CANNED,-,green beans in can,1,1.45,1.45,-,1.45,1.45,-,1.45,1.45,-,-,-,n.a.,R,G,R,TYPOLOGY
54,LEGUMES FROZEN,-,beans frozen,1,1.77,1.77,-,1.77,1.77,-,1.77,1.77,-,-,-,n.a.,R,G,R,TYPOLOGY
55,LEGUMES FROZEN,-,green beans frozen,1,2.741769912,2.741769912,-,2.741769912,2.741769912,-,2.741769912,2.741769912,-,-,-,n.a.,R,G,R,TYPOLOGY
56,MARGARINE*,-,margarine,6,1.43,1.39,0.2407626771,1.1,1.8,0.21,1.26,1.61,0.1683655084,0.2235562,1.728585,0.88109,Y,n.a,G,ITEM matching with TYPOLOGY
57,NUTS COVERED WITH CHOCOLATE,-,almond covered with chocolate,1,4.8,4.8,-,4.8,4.8,-,4.8,4.8,-,-,-,n.a.,R,G,R,TYPOLOGY
58,NUTS COVERED WITH CHOCOLATE,-,hazelnut covered with chocolate,1,3.43,3.43,-,3.43,3.43,-,3.43,3.43,-,-,-,n.a.,R,G,R,TYPOLOGY
59,NUTS PASTE,-,almond paste,2,2.98,2.98,0.09,2.89,3.07,0.09,2.935,3.025,0.03020134228,-,-,-,R,G,R,TYPOLOGY
60,NUTS PASTE,-,hazelnut cream,2,2.71,2.71,0.1,2.61,2.81,0.1,2.66,2.76,0.036900369,-,-,-,R,G,R,TYPOLOGY
61,NUTS PASTE,-,hazelnut paste,2,1.685,1.685,0.095,1.59,1.78,0.095,1.6375,1.7325,0.05637982196,-,-,-,R,G,R,TYPOLOGY
62,NUTS PASTE,-,peanut butter,1,1.15,1.15,-,1.15,1.15,-,1.15,1.15,-,-,-,n.a.,R,G,R,TYPOLOGY
63,NUTS PASTE,-,peanut paste,2,1.84,1.84,0.09,1.75,1.93,0.09,1.795,1.885,0.04891304348,-,-,-,R,G,R,TYPOLOGY
64,OIL,-,olive oil,45,3.837506911,3.265,2.84781503,0.6285,17.53,1.047,2.575,4.56,0.7421002999,2.834336,13.25411,0,G,G,R,ITEM
65,OIL,-,palm oil,5,2.3159,2.432,0.7570683192,1.0095,3.32,0.268,2.164,2.654,0.3269002631,-0.5445492,2.400846,0.76906,Y,G,G,ITEM
66,OIL,-,peanut oil,2,2.8975,2.8975,1.9595,0.938,4.857,1.9595,1.91775,3.87725,0.6762726488,-,-,-,R,G,R,TYPOLOGY
67,OIL,-,rapeseed oil,9,2.403693333,1.78604,1.267311816,0.402,4.3002,1.38404,1.54,3.63,0.5272352336,-0.3135748,1.604231,0.37155,G,G,G,ITEM
68,OIL,-,soybean oil,6,2.303482143,1.787,1.23836352,1.0738,4.3002,0.6286535714,1.284669643,3.2635,0.5376050009,0.2081498,1.268125,0.61695,Y,G,G,ITEM
69,OIL,-,sunflower oil,5,0.99412,0.9846,0.07675973945,0.9,1.12,0.0486,0.936,1.03,0.07721375633,0.4465887,1.973935,0.86505,Y,G,G,ITEM
70,PASTA*,-,pasta,48,1.241734167,1.2055,0.4391920759,0.55,2.303,0.326,0.868,1.501525,0.3536925114,0.5753583,2.38885,0.01081,G,G,Y,ITEM
71,PESTO,-,pesto,2,2.713,2.713,0.114,2.599,2.827,0.114,2.656,2.77,0.04201990417,-,-,-,R,G,R,TYPOLOGY
72,PESTO,-,pesto without garlic,1,2.717,2.717,-,2.717,2.717,-,2.717,2.717,-,-,-,n.a.,R,G,R,TYPOLOGY
73,SUGAR,-,beet sugar,9,0.8854922222222222,0.94,0.3025996629864384,0.264,1.31,0.2699999999999999,0.67,1.05,0.3417304583738041,-0.587892,2.662608,0.68124,G,G,G,ITEM
74,SUGAR,-,cane sugar,7,0.66633,0.62367,0.3748765503850187,0.283,1.509,0.19934999999999994,0.42432000000000003,0.7,0.562598938041239,1.382332,3.86649,0.05966,Y,G,G,ITEM
