,Typology,Sub-typology,Item,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
286,FISH,-,rock fish,1,6.94,6.94,-,6.94,6.94,-,6.94,6.94,-,-,-,n.a.,R,G,R,TYPOLOGY
287,FISH,-,salmon,26,3.799502405,3.3734,1.868484055,1.11,8.87575,0.815,2.59,4.045,0.4917707256,1.331349,4.135528,0.00155,G,G,R,ITEM
288,FISH,-,sardine,5,0.9028,0.9,0.2962960681,0.5,1.414,0.12,0.78,0.92,0.3281967968,0.5104476,2.46111,0.644,Y,G,G,ITEM
289,FISH,-,sea-bass,5,3.59096,3.601,1.26232462,1.9128,5.76,0.661,2.94,3.741,0.3515284548,0.518,2.382,0.733,Y,G,G,ITEM
290,FISH,-,shark,3,10.09044444,11.436,1.990271475,7.276666667,11.55866667,0.1226666667,9.356333333,11.49733333,0.1972431924,-0.7050928,,0.04802,R,G,R,TYPOLOGY
291,FISH,-,sole,2,5.4,5.4,2.05,3.35,7.45,2.05,4.375,6.425,0.3796296296,-,-,-,R,G,R,TYPOLOGY
292,FISH,-,swordfish,2,12.838,12.838,1.402,11.436,14.24,1.402,12.137,13.539,0.1092070416,-,-,-,R,G,R,TYPOLOGY
293,FISH,-,trout,21,3.645946032,4.2,1.143297125,1.3672,5.9528,0.3448,3.02,4.3,0.3135803753,-0.3965869,2.557203,0.09786,G,G,G,ITEM
294,FISH,-,tuna,6,4.676625,3.675625,3.589201988,1.39,11.436,2.200625,1.6425,6.1071875,0.7674769707,0.8159264,2.376687,0.161,Y,G,G,ITEM
295,FISH,-,turbot,2,14.5136,14.5136,4.8864,9.6272,19.4,4.8864,12.0704,16.9568,0.3366773233,-,-,-,R,G,R,TYPOLOGY
296,FISH,-,whiting,2,2.6632,2.6632,1.1232,1.54,3.7864,1.1232,2.1016,3.2248,0.4217482728,-,-,-,R,G,R,TYPOLOGY
297,FISH FROZEN,-,cod frozen,6,3.088333333,3.025,1.356409681,0.75,5.3,0.565,2.7375,3.5975,0.4392044298,-0.1149572,2.66315,0.78163,Y,G,G,ITEM
298,FISH FROZEN,-,fish stick frozen,1,2.260802469,2.260802469,-,2.260802469,2.260802469,-,2.260802469,2.260802469,-,-,-,n.a.,R,G,R,TYPOLOGY
299,FISH FROZEN,-,haddock frozen,1,3.72,3.72,-,3.72,3.72,-,3.72,3.72,-,-,-,n.a.,R,G,R,TYPOLOGY
300,FISH FROZEN,-,herring frozen,4,1.305,1.295,0.2464244306,0.98,1.65,0.205,1.145,1.455,0.1888309813,0.1034473,1.728621,0.98923,Y,G,G,ITEM
301,FISH FROZEN,-,mackerel frozen,3,1.111666667,0.99,0.2847903712,0.84,1.505,0.15,0.915,1.2475,0.2561832425,0.5628501,,0.4139,R,G,R,TYPOLOGY
302,FISH FROZEN,-,mixed fish frozen,1,1.04,1.04,-,1.04,1.04,-,1.04,1.04,-,-,-,n.a.,R,G,R,TYPOLOGY
303,FISH FROZEN,-,pollock frozen,1,0.895,0.895,-,0.895,0.895,-,0.895,0.895,-,-,-,n.a.,R,G,R,TYPOLOGY
304,FISH FROZEN,-,pollock stick frozen,1,2.14,2.14,-,2.14,2.14,-,2.14,2.14,-,-,-,n.a.,R,G,R,TYPOLOGY
305,FISH FROZEN,-,salmon frozen,4,1.9925,1.61,1.476962677,0.55,4.2,0.96,0.7,2.9025,0.7412610676,0.4614086,1.602984,0.40686,Y,G,G,ITEM
306,FISH FROZEN,-,sole frozen,2,14.278,14.278,6.578,7.7,20.856,6.578,10.989,17.567,0.4607087827,-,-,-,R,R,R,TYPOLOGY
307,FISH FROZEN,-,trout frozen,2,4.375,4.375,0.145,4.23,4.52,0.145,4.3025,4.4475,0.03314285714,-,-,-,R,G,R,TYPOLOGY
308,FISH FROZEN,-,tuna frozen,4,2.6625,2.64,0.5935644447,1.85,3.52,0.435,2.3825,2.92,0.2229350027,0.1114906,1.966919,0.89363,Y,G,G,ITEM
309,FISH PROCESSED,-,cod fish stick,1,2.14,2.14,-,2.14,2.14,-,2.14,2.14,-,-,-,n.a.,R,G,R,TYPOLOGY
310,FISH PROCESSED,-,hake fish stick,1,2.14,2.14,-,2.14,2.14,-,2.14,2.14,-,-,-,n.a.,R,G,R,TYPOLOGY
311,FISH PROCESSED,-,makerel fish stick,1,1.01654321,1.01654321,-,1.01654321,1.01654321,-,1.01654321,1.01654321,-,-,-,n.a.,R,R,R,TYPOLOGY
312,FISH PROCESSED,-,tuna in can,6,2.0,2.1,0.2160246899,1.7,2.2,0.1,1.8,2.175,0.108012345,-0.5951697,1.5,0.32081,Y,G,G,ITEM
313,SHELLFISH,-,barnacle,6,4.320466667,2.295,4.080510636,0.7829,11.678,1.3816,1.105925,6.6955,0.9444606222,0.8172261,2.067304,0.10031,Y,G,G,ITEM
314,SHELLFISH,-,krill,1,5.54,5.54,-,5.54,5.54,-,5.54,5.54,-,-,-,n.a.,R,G,R,TYPOLOGY
315,SHELLFISH,-,lobster,5,19.302,20.25,8.189120588,7.72,28.3,7.81,12.44,27.8,0.4242628011,-0.1943619,1.422311,0.41785,Y,R,G,ITEM
316,SHELLFISH,BIVALVES* (SUB-TYP) (Mussels),mussels,7,0.9379428571,0.4649,0.8617477968,0.115,2.54,0.3499,0.3306,1.39225,0.9187636435,0.8717776,2.163004,0.09237,Y,G,G,ITEM
317,SHELLFISH,CEPHALOPOD (SUB-TYP),cuttlefish,2,5.05,5.05,1.34,3.71,6.39,1.34,4.38,5.72,0.2653465347,-,-,-,R,G,R,TYPOLOGY
318,SHELLFISH,CEPHALOPOD (SUB-TYP),octopus,2,5.8,5.8,1.55,4.25,7.35,1.55,5.025,6.575,0.2672413793,-,-,-,R,G,R,TYPOLOGY
319,SHELLFISH,CEPHALOPOD (SUB-TYP),squid,3,7.507337123,6.91,3.136154913,4.00001137,11.612,2.90998863,5.455005685,9.261,0.4177453152,0.2787923,,0.94786,R,G,R,TYPOLOGY
320,SHELLFISH,CRUSTACEAN* (SUB-TYP) (Prawns/Shrimps),shrimps,18,11.95,7.04,10.41578716,2.89,38.0,3.25,5.2425,16.775,0.8716139885,1.281887,3.369668,0.00113,G,G,R,ITEM
321,SHELLFISH FROZEN,-,octopus frozen,1,7.878611111,7.878611111,-,7.878611111,7.878611111,-,7.878611111,7.878611111,-,-,-,n.a.,R,G,R,TYPOLOGY
322,SHELLFISH FROZEN,-,shrimps frozen,4,17.73375,15.065,12.02475955,5.805,35.0,8.5625,6.85125,25.9475,0.6780720123,0.3481804,1.460787,0.38053,Y,G,G,ITEM
