FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
bread stuffing bread,281.5,7.1,6.0,48.95,5.19,3.05,59.0,0.096,0.015,0.0,0.8899999999999999,139.5,3.6205,0.2555,0.366,64.5,0.155,2.45,26.0,0.3815,91.5,48.9,0.605
bread stuffing cornbread,284.0,6.45,6.5,49.3,4.345,8.6,43.0,0.092,0.01,2.15,0.425,214.0,3.06,0.2199999999999999,0.313,52.0,0.1485,2.095,28.5,0.3215,73.5,30.15,0.49
breakfast tart low fat,372.0,3.99,5.99,76.8,4.87,1.5,285.0,0.38,0.0,3.8,0.53,133.0,3.8,0.549,0.285,44.0,0.073,3.42,44.0,0.0,93.0,12.9,0.28
cake angelfood,257.5,6.0,0.55,58.25,15.255,0.85,0.0,0.0185,0.045,0.0,0.005,43.0,0.527,0.3465,0.097,112.0,0.073,0.375,10.0,0.074,278.0,11.3,0.1
cake boston cream pie,252.0,2.4,8.5,42.9,36.11,1.4,24.0,0.026,0.16,0.2,0.15,18.0,0.191,0.27,0.408,23.0,0.042,0.38,6.0,0.05,49.0,4.1,0.16
cake carrot,415.0,5.1,9.8,79.2,0.0,0.0,97.0,0.079,0.04,1.2,0.0,104.0,2.205,0.17,0.265,172.0,0.05,1.8,8.0,0.528,247.0,14.9,0.2
cake cherry fudge with chocolate frosting,264.0,2.4,12.5,38.0,32.94,1.2,77.0,0.06,0.21,13.6,0.75,13.0,0.7,0.19,0.03,48.0,0.057,1.1,19.0,0.067,105.0,3.4,0.28
cake chocolate,383.6666666666667,4.46,14.43,62.13333333333333,26.49666666666667,2.033333333333333,0.6666666666666666,0.024,0.22,0.1333333333333333,1.66,49.0,1.4423333333333332,0.1466666666666666,0.1169999999999999,74.33333333333333,0.2316666666666666,2.523333333333333,34.666666666666664,0.274,176.33333333333334,7.666666666666667,0.6833333333333332
cake fruitcake,324.0,2.9,9.1,61.6,27.42,3.7,7.0,0.046,0.01,0.5,0.9,32.0,0.791,0.099,0.05,33.0,0.05,2.07,16.0,0.22,52.0,2.0,0.27
cake gingerbread,396.5,4.15,15.1,61.9,23.31,0.85,7.0,0.1155,0.03,0.15,0.1,64.0,2.144,0.201,0.265,82.5,0.2205,3.79,45.5,0.6195,140.0,9.2,0.375
cake marble,416.0,3.4,11.7,79.5,35.71,2.9,1.0,0.025,0.0,0.0,0.85,55.0,1.546,0.13,0.181,76.0,0.135,1.62,18.0,0.139,275.0,2.6,0.35
cake pineapple upside down,319.0,3.5,12.1,50.5,0.0,0.8,62.0,0.034,0.08,1.2,0.0,39.0,1.19,0.156,0.153,120.0,0.087,1.48,13.0,0.35,82.0,9.4,0.31
cake pound,366.4,5.484,14.532,53.716,19.294,0.94,33.8,0.0247999999999999,0.128,0.04,0.132,37.2,0.9224,0.217,0.1089999999999999,54.0,0.0528,1.454,11.4,0.1232,134.6,6.82,0.422
cake shortcake,346.0,6.1,14.2,48.5,0.0,0.0,18.0,0.03,0.07,0.2,0.0,83.0,2.573,0.272,0.311,205.0,0.076,2.54,16.0,0.33,143.0,17.0,0.48
cake snack cakes,396.75,3.63,12.9025,66.55,34.5475,8.5,3.0,0.13,0.1674999999999999,0.5,0.9975,71.0,2.22325,0.2277499999999999,0.1987499999999999,128.0,0.24075,2.5775,55.0,0.1975,180.0,15.65,1.0925
cake sponge,293.5,6.35,3.5,59.35,18.33,0.25,60.5,0.0554999999999999,0.305,0.0,0.12,62.0,1.568,0.285,0.201,56.0,0.059,2.1500000000000004,10.0,0.1885,118.5,13.8,0.55
cake white,391.2,4.12,10.02,72.38000000000001,28.366000000000003,0.64,5.4,0.0208,0.044,0.06,0.064,73.2,1.6772000000000002,0.17,0.1926,80.0,0.059,1.3099999999999998,10.4,0.266,202.6,5.779999999999999,0.29
cake yellow,394.8571428571428,4.035714285714287,11.522857142857143,69.81142857142858,24.072857142857146,0.9714285714285714,11.857142857142858,0.0392857142857142,0.0957142857142857,0.0571428571428571,1.054285714285714,76.71428571428571,1.362428571428571,0.1535714285714285,0.1597142857142857,122.28571428571428,0.0734285714285714,1.4542857142857144,11.0,0.1995714285714285,227.8571428571429,4.8,0.3228571428571428
cake mix angelfood,366.0,6.4,0.27,86.13,61.33,0.5,0.0,0.009,0.05,0.0,0.0,60.0,0.267,0.267,0.0,153.0,0.094,0.27,11.0,0.142,337.0,12.6,0.16
cake mix pudding,350.0,4.17,3.24,81.25,42.13,2.1,1.0,0.035,0.0,0.0,0.08,80.0,2.315,0.231,0.231,189.0,0.156,3.01,22.0,0.105,294.0,3.1,0.42
cheesecake prepared from mix no bake type,274.0,5.5,12.7,35.5,0.0,1.9,96.0,0.052,0.31,0.5,0.0,38.0,0.493,0.263,0.121,172.0,0.029,0.47,19.0,0.12,234.0,4.7,0.46
cinnamon buns frosted includes honey buns,452.0,4.45,26.61,48.6,25.7,1.2,0.0,0.038,0.16,0.3,1.15,109.0,2.404,0.138,0.211,183.0,0.062,1.37,14.0,0.292,131.0,13.0,0.53
coffeecake cheese,339.0,7.0,15.2,44.3,0.0,1.0,86.0,0.058,0.34,0.1,0.0,53.0,0.682,0.125,0.105,59.0,0.052,0.64,15.0,0.172,101.0,13.3,0.59
