FullName,Word Embedding,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Item,Footprint
mori nu tofu,"[-0.13013396 -0.1657077   0.3811269  -0.82478092 -0.17131702 -0.11029821
 -0.23680988 -0.09462741  0.40801236  0.02134601 -0.29305908  0.33921978
 -0.41625117 -0.57007922 -0.2705178   0.1718965   0.26391895 -0.30926964
  0.25440366  0.37456258 -0.28790485 -0.04130674 -0.35402897  0.3658322
 -0.18546208  0.20688832  0.09099102  0.28094043 -0.20798603 -0.71094557
 -0.24563077  0.14203733 -0.48226536 -0.41166277 -0.66926848 -0.07408742
 -0.45400666  0.01071644 -0.52794909 -0.83494593  0.11380795 -0.95016681
 -0.42241414  0.4048717  -0.21121792  0.98433617  0.05826678  0.76371257
  0.09784188 -0.06743963 -0.11476947 -0.09547242  0.10604051 -0.64854396
  0.43942261 -0.13043359  0.41799741 -0.26444464  0.127866    0.47388787
 -0.69464785  0.09684478 -0.49067614 -0.00831504 -0.50020437  0.48162324
  0.25841567  0.25301961 -0.02504212 -0.10299951  0.40707995 -0.07316511
 -0.12859505 -0.70447831  0.3824835   0.88462558 -0.23476213  0.81898992
  0.47211572 -0.10118821 -0.70574105  0.41044462 -0.77011682  1.1820957
 -0.48045278  0.45901625 -0.53917226  0.16831102  0.17139145 -0.55901697
 -0.07545665 -0.76811046 -0.61821645  0.10793242 -0.72964775  0.60801899
  0.03288338 -0.8807155   0.06090769 -0.09717022]",49.4,6.480000000000001,1.7600000000000002,1.88,0.8880000000000001,0.06,0.0,0.0066,0.0,0.0,0.0,0.0,0.2004,0.031,0.0699999999999999,34.6,0.172,0.916,20.6,0.0,83.2,0.0,0.4640000000000001,tofu,2.333
morningstar farms bbq riblets frozen,"[-1.12942633 -0.02346175  1.32716022 -0.55275621 -0.55762667  0.26780791
 -0.11465094  0.18131872 -0.16599424 -1.14372726 -0.69108391  0.1888876
 -0.47974636 -0.55442519 -0.19512851 -0.09696844  0.38736564  0.08026444
 -0.05434379 -0.21031499  0.29247679 -0.14410314  0.32773369  0.4100899
 -0.64251147  0.03293848  1.00237318  0.51373118  0.09214255 -0.21887236
  0.21135672  0.01088502  0.77126981 -0.28229298 -0.53687066  0.13176982
 -0.06211052 -0.11107509  0.29412573 -0.04413154  0.22625987 -0.61957937
  0.05066089  0.57961165  0.41662529 -0.18141956 -0.32955162 -0.04988365
  0.23068771 -0.21582861 -0.0294078  -0.27064412  0.28925125 -0.30401313
  0.13596784 -0.01854672  0.2078247   0.72417223 -0.41281091  0.4712815
 -0.02969484 -0.00889371  0.08285349  1.07855054 -0.36860626 -0.03908441
  0.4074244  -0.24313527  0.13911352 -0.21572523  0.65184553 -0.2108389
  0.03678384  0.04552687 -0.29008876 -0.11931028 -0.03461195 -0.13140175
  0.02102218 -0.48373941 -0.39060807 -0.11365904 -0.37781868  1.23485693
 -1.2734382   0.09854697  0.77049564  0.06703868 -0.22554693  0.12097915
 -0.67837401 -0.19646212  0.40649446 -0.21913624 -0.14763574 -0.52750555
 -0.77624566 -0.29536446 -0.1491511   0.44157256]",165.0,11.4,2.3,24.6,17.2,4.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,2.0,70.0,0.0,196.0,0.0,0.9,shrimps frozen,17.73375
morningstar farms bacon egg and cheese biscuit,"[ 0.11404198  0.60740257  0.16745281 -0.51743697 -0.99890531  0.71826702
  1.49280397  0.17749766 -1.13323866  1.38765176  1.28687177  0.2925962
 -0.0814326  -2.08495204 -0.72335715  0.78689824  0.28160494 -0.04534438
 -0.27576719 -1.10611516  0.32287838  0.84706267 -0.56190929 -0.95282523
  0.52289109  0.58085169  0.03515302 -0.22197333 -0.04774542 -0.79241089
  0.46422508  0.79669023 -1.24780771  0.3239398   0.63349714  0.90692931
 -0.54741832  0.85332308  0.28563179 -0.68566749  0.66975147 -0.17183
 -0.29565541  1.18374782 -1.00384827  1.35506735 -0.48016861  0.29461536
  0.46466906 -0.16139989  1.23676971  0.30439649  1.0266442  -0.73516673
  0.29611877  0.401891    0.83698997 -0.45295637 -0.08402099  0.33298686
  0.39116792 -0.63629097  0.35050216  0.03145845 -1.45036687  0.218581
 -1.21082144 -1.32181871  1.03150832  0.12149093 -0.51919157 -0.30790704
  0.76483973 -0.62358197  0.12345762  1.27429457 -0.75579953  0.10922234
  0.55337909 -0.63631733  1.13673774  0.15662257  0.27732774  0.12479566
  1.50171621  0.84814606 -1.1352914   0.09837248 -0.86879733  0.01123132
  1.34136483 -0.29977841 -0.6072446   0.12004838 -1.57433515  1.20456059
 -0.13039732 -1.44350876  0.12950455  0.05753231]",261.0,8.7,8.0,38.5,4.5,1.4,0.0,0.0,0.1,0.0,0.0,0.0,2.4,0.3,0.3,126.0,0.0,2.8,25.0,0.0,306.0,0.0,0.8,goat cheese,8.18
morningstar farms breakfast bacon strips frozen,"[-7.48433251e-01 -2.48930665e-02  1.70737823e+00  3.79668272e-01
 -4.33962138e-01 -2.68626150e-01  1.12836231e-01  1.23536662e+00
  4.56910833e-01 -5.35266052e-01  9.78489068e-02  2.62261069e-01
 -1.38500869e-01 -1.61962075e+00 -4.35200724e-01  3.71240335e-01
 -1.32415685e-01 -6.47573423e-01  9.39195783e-02  4.51684352e-01
  2.28496003e-01  7.79332408e-01  1.03839301e-01 -6.74008860e-01
 -1.45904440e-01 -3.92067858e-01 -5.44006081e-01  6.00511000e-02
 -1.12356177e+00 -3.07393385e-01  2.52886637e-01  3.26728884e-01
 -9.49687901e-02  2.45236741e-01 -8.25999479e-01  9.88610015e-01
  3.09576514e-01  3.38118196e-01  5.67083648e-01  3.39606392e-01
  8.91523884e-02 -1.14860285e+00 -5.76075297e-02  1.23013556e+00
  6.39132456e-01 -6.96815221e-02 -1.59672846e+00  6.23934716e-01
  4.93957565e-01 -2.26040828e-01 -1.50536999e+00  2.90620284e-02
  9.26835032e-01 -1.12017843e+00  5.50315103e-01 -1.81329109e-01
  1.10229680e+00  1.73373561e-01 -1.46331544e-01  7.55117284e-01
  2.85857248e-01 -6.89209574e-01 -7.80794268e-01  7.22669527e-01
 -1.27878393e+00  1.89398607e-01  2.46363256e-01  5.14504721e-01
  5.28632704e-01  1.13884192e-01 -1.36504384e-03 -3.58649715e-01
 -1.95004310e-01 -2.57279885e-01  4.81757578e-02 -2.52018869e-03
 -7.49631489e-01  7.16814441e-01 -4.64949095e-02 -7.02416194e-01
  4.45505481e-01  3.38922934e-01 -6.78589344e-01  4.59643931e-01
 -3.43891382e-01  6.69822480e-01  4.67241195e-01  5.97037421e-01
 -2.14941620e-01  2.11704872e-01 -4.18186552e-01 -2.70028812e-01
  3.87040723e-01  5.50624120e-01 -5.54942107e-01  8.26701742e-01
 -1.13682247e+00 -4.58331645e-01 -3.14754670e-01  1.39455841e-01]",346.0,12.4,26.6,14.3,0.8,5.1,0.0,0.5,3.4,0.0,0.0,0.0,8.8,0.4,10.1,42.0,0.0,3.6,0.0,0.0,285.0,0.0,0.6,bacon,4.025
morningstar farms breakfast pattie frozen,"[-0.77267797  0.48342838  1.07331365 -0.17779022 -0.38654518  0.22652506
  0.35354707  0.54675837  0.03635444 -0.64568722 -0.20755739  0.46641267
 -0.45999617 -0.60425604 -0.10099643 -0.08870001  0.08394024 -0.23081257
  0.21023704  0.30553787  0.54411153 -0.12322887  0.67698209 -0.43063067
 -0.73291021 -0.31257065  0.5501702   0.09240701 -0.42751625 -0.09065983
  0.32836373 -0.32789031  0.60099781 -0.13439693 -0.89258353  0.20709994
 -0.38348452 -0.57196728  0.59814059  0.1686606  -0.36251357 -0.26381555
 -0.01314575  0.60670629  0.76337437 -0.25985264 -0.74590086 -0.14710753
  0.43232375  0.25332385 -0.25730121 -0.3994835   0.0198029  -0.72026573
  0.14887736 -0.04414414  0.06330582  0.43068025 -0.66290979  0.78421151
  0.11328513  0.40252509  0.14979697  0.87846334 -0.59817308 -0.33071753
 -0.08312962  0.31725991  0.56074462 -0.27243005  0.48875268 -0.01544799
  0.69350714  0.40785311 -0.32082243 -0.31204606  0.3188596   0.34699123
 -0.00912981 -0.51464017  0.07313531 -0.03866246 -1.16628159  0.64870211
 -0.71426649  0.20364715  0.66016181  0.52789847  0.0990872   0.47114913
 -0.45130251  0.13030656  0.17328056  0.20107796 -0.19342845  0.22686425
 -0.88487248  0.2471961   0.1564677   0.51380015]",205.0,22.1,8.19,10.61,1.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,mackerel frozen,1.111666667
morningstar farms breakfast pattie with organic soy frozen,"[-1.02120659  0.09608258  0.65898421 -0.29459494 -0.46861534  0.3359877
 -0.31298164  0.69889043 -0.75952786  0.021791   -0.73435891 -0.13764847
 -0.63688027 -0.50846774  0.0871936   0.07411907  0.50262364  0.02318774
  0.14732149 -0.34835591  0.43419475 -0.00850804  0.4904755   0.21568471
 -0.52159424  0.21469681  0.85105997  0.89504412 -0.06601508 -0.60058832
  0.13110245 -0.35932361  0.42426088 -0.31699638 -0.30186269 -0.37606776
 -0.03356212 -0.42715551  0.48664849  0.16390717  0.24000866 -1.1528962
 -0.4254677   1.17412107  0.27778788 -0.19912629 -0.38996718 -0.02697592
  0.25611574 -0.20763943  0.28710132 -1.44646452 -0.25961137 -0.64125493
  0.22596942 -0.43207687 -0.03891917 -0.23264944 -0.27058342  0.02025361
  0.60049289 -0.01944438  0.68444668  0.56060803 -0.0557441  -0.1600184
  0.73309143 -0.00729859 -0.5664996   0.31172364  0.4747206  -0.12828419
  0.45877737  0.37250596  0.17022153  0.91740249 -0.25901783 -0.02695231
 -0.55719488 -0.3218341   0.24088134 -0.40793068 -0.49405647  0.15831091
 -0.95041321  0.46450053  0.09070939  0.42950448 -0.03582341  0.52388374
  0.43223539  0.5537038  -0.78549199  0.61952023 -0.46324235 -0.16457415
 -0.47261129 -0.41982016  0.43059952  0.48569379]",220.0,23.7,8.3,12.6,2.2,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,60.0,0.0,1.9,15.0,0.0,39.0,0.0,0.6,soy yogurt,1.36
morningstar farms buffalo wings frozen,"[-0.89735919  0.84292545  1.71103868 -0.49057961 -0.61894322  0.07005716
  0.03158122  0.14009659 -0.07054852 -0.80161398 -0.60425923  0.30874594
 -0.51787226 -0.56020997 -0.40997451  0.43915922  0.35734383 -0.04073713
  0.06246218  0.26525169  0.38486574 -0.23400693  0.2437415   0.36542031
 -0.30277006 -0.21469195  0.8017266   1.02434465 -0.0388074  -0.4605204
  0.34759404  0.39303362  0.84778271 -0.33200599 -0.10644263  0.32104192
 -0.3778288  -0.30306051 -0.13390244  0.04501799  0.21905146 -0.97617759
 -0.56108743 -0.10765266  0.19718717 -0.23888767 -0.2654653   0.32123362
  0.60493232 -0.56732056 -0.078741   -0.21550635  0.37775789 -0.63493925
 -0.06316169 -0.4108352   0.54742957  0.40892239 -0.37963701  0.34208782
 -0.12740762 -0.4346183  -0.17010547  0.76267965 -0.36918708  0.09200267
  0.72658762 -0.2409804   0.37182764  0.09417675 -0.11307406 -0.58689407
 -0.18648272 -0.27983084 -0.96240499  0.23696778 -0.03154714  0.09229224
 -0.1485981   0.02838394 -0.63332337 -0.06605234 -1.30450937  0.93159917
 -0.81936007  0.18558601  0.8789174   0.5342412  -0.18138408  0.15459815
 -0.97786172 -0.36723544  0.21700362 -0.18855003  0.25968968 -0.17336901
 -0.53456365 -0.10497131  0.04128907 -0.63055642]",246.0,14.1,11.0,22.6,2.8,4.8,0.0,0.2,2.5,0.0,0.0,0.0,4.7,0.1,0.5,63.0,0.0,3.2,35.0,0.0,112.0,0.0,0.5,shrimps frozen,17.73375
morningstar farms corn dog frozen,"[-0.68935209  0.20433913  0.53013384 -0.89497393 -0.70058121  0.18141455
  0.06360544  0.5607867  -0.18764998 -0.44973189  0.76724972  0.40488075
 -0.8173149  -0.81745292  0.41365857 -0.03108757 -0.12929106  0.48646802
 -0.26415094 -0.21442155  0.02627898 -0.07633004  1.07041853 -0.28043336
 -0.23141076  0.36662202  0.45833052 -0.15397367 -0.51121237 -0.67463357
  0.28799494  0.00396079  1.29515418  0.169117   -1.04566267  0.60401468
 -0.5103435  -0.5881026   0.23853894  0.11155392 -0.0262379  -1.12649475
 -0.33682066  1.47441833 -0.23916092  0.22419245 -0.21768382 -0.35992233
  0.81418848  0.33956124 -0.10903872 -0.46001857  0.06262657 -0.1547676
  0.02914205 -1.01135106  0.6369393   0.86734033 -0.65571544  1.21552411
  0.28579282  0.40116172 -0.05857557  1.09078051 -1.00834225 -0.97258795
 -0.5714206  -0.02871974 -0.25528882  0.28259198  0.24142791 -0.50617953
  1.03146698  0.54224555  0.33060832  0.34833612 -0.59534774  1.18798554
  0.06812843 -0.57575202  0.3639367   0.32871197 -1.08261613  1.00196257
 -0.36996918  0.5330475   0.4014116   0.38048705 -0.40425792 -0.1510915
  0.26459667  0.03559735 -0.23689677  0.2778896   0.05416648  0.24965246
 -0.55908943  0.30735182  0.05737256  0.42479268]",220.0,11.2,3.5,36.0,11.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.3,16.0,0.0,115.0,0.0,0.7,tuna frozen,2.6625
morningstar farms corn dog mini frozen,"[-0.81064505  0.18895629  0.75716503 -0.79213149 -0.58216185  0.1698699
 -0.00572523  0.56140083 -0.57016616 -0.78032272  0.98409513  0.1630844
 -0.58589306 -0.84671997  0.35671623  0.06143304 -0.24845352  0.26678545
  0.04184553  0.01739944  0.31699463 -0.43046943  1.19124178 -0.35845475
 -0.24270678  0.38379603  0.82932693 -0.18274801 -0.56040439 -0.46030699
  0.23015343  0.1205335   1.36338418  0.43897454 -0.89928078  0.60615766
  0.1185724  -0.18511371  0.25538246  0.05386633 -0.19506435 -0.67433803
  0.02396606  1.50511937  0.31875745  0.42427037 -0.02790301 -0.49844798
  0.5396573   0.27646296  0.21971068 -0.74679274  0.25861237 -0.13304477
 -0.37050465 -0.70144787  0.60090346  0.43793363 -0.58492933  0.75739545
  0.88715064  0.25631148 -0.37412734  1.09833931 -0.53674899 -0.69850904
 -0.99662584 -0.08353628  0.13290506  0.31472999  0.32769602 -0.62994689
  0.92747613  0.53149248  0.49288614  0.05241334 -0.3191696   1.14685001
  0.26223784 -0.73646335  0.48841623  0.20319067 -1.13107269  0.5771135
 -0.4760752   0.20851834  0.23991476  0.37496637 -0.22132857  0.20940596
  0.48955814  0.51337403 -0.2496382   0.26501598  0.37470748  0.57273383
 -0.40644193  0.65449503 -0.11008974  0.46379672]",226.0,13.2,4.7,32.6,8.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.4,14.0,0.0,142.0,0.0,0.7,mackerel frozen,1.111666667
morningstar farms entree chili frozen,"[-9.41242956e-01  4.06820278e-01  1.36159313e+00 -5.41732551e-01
  2.56937444e-03  2.76864646e-01 -4.56029251e-02  2.21108715e-01
 -5.50459985e-01 -5.78563685e-01 -2.51362491e-01  5.55262136e-01
 -1.43857729e+00 -5.28074065e-01  5.90573372e-01  1.05364773e-01
 -8.60851377e-02  2.82194187e-01 -3.81020034e-01 -1.52659339e-01
  2.35074857e-01 -1.75453963e-02  1.15036707e+00 -4.14493729e-01
 -6.59165298e-01  2.19025947e-02  3.92017215e-03  5.19351363e-03
 -6.60360768e-02  1.94022142e-01 -2.15254182e-01 -1.58544453e-03
  1.09816692e+00 -5.42689580e-02 -8.45461929e-01  2.03989516e-01
 -7.30502458e-02 -6.09590632e-01  1.53749038e-01  1.46226057e-01
  5.75318805e-01 -7.05409521e-01 -1.61711545e-01  1.20292458e+00
  6.88546489e-01 -5.06680153e-02 -8.56455474e-01  1.57371176e-01
  5.40145767e-01  2.87363887e-02  1.26481061e-01 -5.98501277e-01
 -2.80666634e-01 -1.59529828e-01  7.98629476e-01 -4.54960167e-03
  5.51556611e-01 -3.13150411e-01 -1.03302792e+00  1.05372545e+00
 -4.13841168e-01  6.44128712e-02  6.98140158e-01  5.40089184e-01
 -9.86718485e-01 -1.83843783e-01  2.97410064e-01 -4.39279824e-01
 -4.98354946e-01 -8.29206094e-02  8.22509792e-01 -1.31795295e-03
 -4.82233926e-02  8.38790914e-01  3.16874576e-01  2.23326814e-01
  2.90765127e-01  1.64936521e-01  1.64841821e-01 -3.88443115e-01
  4.41719372e-01  6.98719181e-01 -4.26171213e-01  1.12444128e+00
 -1.03880206e+00  2.11921931e-01 -3.86675864e-02  2.69643779e-01
 -7.93034571e-01  7.41522659e-01  3.00824157e-01  7.69976333e-02
 -4.91009714e-01 -1.64870620e-03 -3.97340960e-01 -2.88689969e-01
 -1.96268840e-01  4.12519899e-01 -1.20288977e-01 -7.05344005e-01]",79.0,4.9,1.0,12.6,1.4,3.9,0.0,0.1,0.2,0.0,0.0,0.0,1.0,0.0,0.1,43.0,0.0,1.8,17.0,0.0,53.0,0.0,0.2,chili,0.8
morningstar farms garden veggie patties frozen,"[-1.31711402 -0.54070395  1.53785519  0.17175214 -1.0568449   0.40015803
  0.24280371  0.40682061 -0.01907729 -0.65890827 -0.4568831   0.45444838
 -0.31699503 -0.62675547 -0.73065062  0.42565011 -0.08217205  0.12108959
 -0.44632239 -0.08745233  0.17773282 -0.26822591  0.58884382  0.22012774
 -0.41843494  0.12505664  0.40677804  0.29402161 -0.66907074 -0.27588553
  0.87802308 -0.03678071 -0.02636268 -0.22692014 -0.18360562  0.38258398
 -0.37066515  0.2119492  -0.23865182 -0.80570792 -0.97426211 -0.80764731
  0.14814058  0.50703097  0.45425789  0.28865237 -0.68646809  0.34687204
 -0.17989417 -0.42373762 -0.37275195  0.08883635  1.26495059 -1.05619824
  0.47789394  0.46371247  0.76262225  0.05156679 -0.36115222 -0.22222271
  0.63090798  0.60363624 -0.42837378  0.47649046 -0.71571518  0.05808042
 -0.45564509  0.65603116  0.50380553 -0.58114651 -0.33471598 -0.35773667
  0.10369298  0.13826124  0.28559399  0.34690593 -0.16072424  0.39696621
  0.05307166 -0.61855966  0.15729746  0.80367003 -0.67131539  0.78279551
 -0.87403042  0.69846375  0.52579376  0.2532491   0.37971102 -0.19683128
 -0.44961738  0.08514981  0.09312713  0.24090685 -0.1156931  -0.28193904
 -0.75487429 -0.01279676 -0.1052377   0.15055756]",176.0,17.8,5.5,13.7,1.8,4.5,0.0,0.9,0.0,1.1,0.0,0.0,1.4,0.3,11.2,59.0,0.0,2.2,0.0,0.0,164.0,0.0,1.0,tuna frozen,2.6625
morningstar farms grillers original frozen,"[-0.70555766  0.66480299  1.28439595 -0.52970502 -0.30923619 -0.10931553
  0.04908819  0.32103956 -0.03600618 -1.12166064 -0.311518    0.51401619
 -0.51181214 -0.63641749 -0.25569375 -0.1489985   0.12564907  0.23726507
  0.01216861  0.23338793  0.37986588 -0.21933008  0.3206972  -0.10108527
 -0.94408632 -0.20090545  0.25423464  0.10508629 -0.4273607  -0.3871031
  0.06175223 -0.62156697  0.42436967  0.06720007 -0.61216843  0.07305848
 -0.33626036 -0.25583858  1.06491547  0.16249602  0.1536273  -0.26365188
  0.18202487  0.37684726  0.76258732  0.35890196 -0.54639638  0.39050483
  0.40339306  0.36487726  0.52769878  0.05134393  0.24811168 -0.63479084
  0.06710519 -0.31972086 -0.26541698  0.84716968 -0.63661472  0.82113153
  0.02460764  0.4070251   0.45475598  0.67004828 -0.43367436  0.26657805
 -0.11613335 -0.02893347  0.40480565 -0.4652077   0.32809382  0.48647618
  0.44920782  0.52886419 -0.07972478 -0.14162021  0.57844831  0.68349391
  0.06010529 -0.42678978  0.40019555  0.26947335 -1.19087644  0.70062255
 -0.51083934  0.0536948   0.87898529  0.2962939   0.38558351  0.2044604
 -0.15420657  0.15134913 -0.02426676  0.36953293  0.16643583 -0.4001715
 -0.70133537  0.28861351  0.45187056 -0.16914445]",213.0,23.9,9.3,8.5,1.2,4.4,0.0,0.6,4.5,0.0,0.0,0.0,6.4,0.3,2.8,61.0,0.0,4.2,0.0,0.0,185.0,0.0,1.2,octopus frozen,7.878611111
morningstar farms grillers prime frozen,"[-0.59376184  0.47142894  0.87340763 -0.23630694 -0.25125329  0.16654492
  0.14734246  0.38194748  0.15006006 -0.66181209 -0.26232869  0.4932813
 -0.42630136 -0.48884154 -0.21886871 -0.00552237 -0.07922501 -0.19682033
  0.28104485  0.41841063  0.26775054  0.0569526   0.31117691 -0.0561968
 -0.80957908 -0.20640142  0.47854616  0.16099372 -0.2644677   0.07244263
  0.12935192 -0.44233151  0.58568539 -0.04563131 -0.50504334  0.15561075
 -0.39084447 -0.6023782   0.59488792  0.24455934  0.03119933 -0.15115898
 -0.10766842  0.43566038  0.39957798 -0.03570856 -0.38616941  0.02003327
  0.31150749  0.064711   -0.12083737 -0.05115234 -0.04189895 -0.37765864
 -0.02580668 -0.12221754  0.2829253   0.51691093 -0.57226192  0.64464845
 -0.00178814 -0.03418464  0.18859888  0.67489608 -0.45655758 -0.12656884
  0.27399815 -0.13460579  0.48827809 -0.1443436   0.20315761 -0.10554176
  0.36851369  0.26293712 -0.27689019 -0.31330627  0.270142    0.33929326
  0.02241907 -0.19673714  0.12832099  0.15877844 -0.82821462  0.60330294
 -0.61285172 -0.01897826  0.5779115   0.27700075  0.13314892  0.27007994
 -0.27576349 -0.04844176 -0.08486679  0.32452491  0.11922965 -0.05819451
 -0.69244993  0.22842593  0.00989785  0.14195406]",238.0,24.0,13.2,5.9,0.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,58.0,0.0,2.8,0.0,0.0,0.0,0.0,1.2,pollock frozen,0.895
morningstar farms grillers quarter pound veggie burger frozen,"[-0.64166863 -0.03689018  1.07570598  0.38893835 -0.61066395  0.33415247
  0.31471082  1.17505419  0.32504103 -0.45187252 -0.1845336   0.26182156
 -0.59699788 -0.46948437 -0.68710332  0.05767204  0.69192728  0.15060246
  0.68339097  0.24477714 -0.11987664 -0.23095577 -0.23297482 -0.16184444
  0.00800233 -0.4375823   0.19979306 -0.88117211 -0.7062218  -0.07526753
  0.30764202  0.33634913 -0.03853171  0.26943823 -0.71795788  1.03941321
 -0.34988513  0.45400835  0.77016721 -0.03337879  0.38852934 -1.18665241
 -0.04430545  0.24310314  0.73273501  0.47040415  0.11363816 -0.13886647
 -0.24396085 -0.43948586 -0.18963933 -0.38944752  0.7638645   0.05346904
 -0.01119063  0.54896505  0.12226326  0.07853298 -0.39103794  0.01259576
  0.57499237 -0.02465276  0.09254485  0.29184477 -0.4977661  -0.43337906
 -0.24812655  0.47565     0.1114974  -0.44283732  0.47548686  0.15736273
 -0.32835416  0.66801447  0.17118901  0.30146622 -0.0494483   0.59519445
 -0.19760203 -0.49862995  0.65177597 -0.339356   -1.05748339  1.23543334
 -0.27626592  0.20182167  0.37459674  0.78453905  0.99746917  0.14584718
 -0.73836002  0.06601336 -0.08672757 -0.43645363 -0.52442715 -0.04534409
 -0.65856374  0.11636797 -0.02202598  0.10740602]",221.0,22.8,10.5,8.9,0.6,2.5,0.0,0.8,7.7,28.0,0.0,0.0,10.8,0.3,1.2,79.0,0.0,4.9,18.0,0.0,124.0,0.0,1.1,tuna frozen,2.6625
morningstar farms grillers vegan frozen,"[-0.5219003   0.49517345  1.00202248 -0.20861657 -0.05544663  0.2607669
  0.18802269  0.43041369 -0.35726515 -0.69456597 -0.31825858  0.57762787
 -0.54242113 -0.89140325 -0.05504533  0.02220629  0.07950161 -0.17660537
 -0.10956235  0.25795239  0.45631921  0.08901746  0.38918879 -0.55287293
 -1.06367248 -0.2205395   0.67189455  0.07199787 -0.22389804  0.15726033
  0.09128769 -0.39897934  0.37719925 -0.28887298 -0.45885099  0.17898039
 -0.27631873 -0.45338875  0.79121751  0.16525206 -0.3513169  -0.27898442
 -0.19774502  0.65741792  0.56734978 -0.16337051 -0.49324637 -0.05515293
  0.35274083  0.2191395   0.01739444 -0.38939158  0.01782316 -0.79197055
  0.00613067 -0.18329581  0.02827103  0.40398361 -0.65656601  0.8850944
 -0.10680913 -0.10597863  0.20429533  0.7307528  -0.60340699 -0.18891765
 -0.12533833 -0.01544778  0.699172   -0.20306517  0.19776534 -0.14477574
  0.29653792  0.3127544  -0.335755   -0.43608323  0.34302244  0.49965955
  0.06611375 -0.42433816  0.10532737 -0.08497702 -0.88165749  0.60830603
 -0.65886169  0.15411064  0.72500008  0.41377968  0.05217879  0.37008162
 -0.05896239  0.08657601  0.00509608  0.44296851  0.12874946 -0.07181609
 -0.76682575  0.25803052 -0.01161156  0.4836992 ]",132.0,16.3,3.4,9.1,0.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,37.0,0.0,2.9,0.0,0.0,221.0,0.0,0.8,pollock frozen,0.895
morningstar farms parmesan garlic wings frozen,"[-0.06584494  0.02756633  1.48728945 -0.75980948 -1.09047749  0.607984
 -0.05352794  0.23704556 -1.74855264 -0.3706091  -0.0974558   0.41193622
 -0.73853149 -1.03111272  0.03466426  0.92185443 -0.26876538 -0.14676886
 -0.63774598 -0.22390115 -0.0526534   0.92562275  0.76320748 -0.19128963
 -0.80449681 -0.17673907  0.0250104   0.49823762 -0.01321467 -0.15367236
 -0.02212422  0.46321951  0.68417736 -0.09136667 -0.13205827  0.44471437
 -0.53066088  0.39419316 -0.2892315  -0.06394546  0.18711367 -1.52733428
 -0.64029606  0.32873397  0.60140549 -0.57865399 -0.5966848   0.0537106
  0.76588896 -0.57444904 -0.20189963  0.02283842 -0.27060431 -0.96776168
  0.26865546  0.29989685  1.01121345 -0.31125906 -0.9227779  -0.12212098
 -0.53001596 -0.85278306  0.40546534 -0.08646794 -1.18253537  0.20458698
  1.08797408 -0.93902497 -0.01430757  0.45204449  0.13448986 -0.63295151
 -0.26237514 -0.44800874 -1.18341408  0.60235766 -0.30575119 -0.201308
  0.79670822  0.61411321 -0.2522109   0.44689035  0.52846833  1.07338015
 -0.20809238  1.32500993  0.53959807  1.1220107  -1.02347096  0.20050648
  1.00309876 -0.41275248 -0.37955637  0.64271447 -0.38684646 -0.44179306
  0.2616939   0.03819935  0.02671478 -1.1129345 ]",231.0,14.2,8.6,24.1,1.3,3.1,0.0,0.1,2.5,0.0,0.0,0.0,3.5,0.1,0.4,82.0,0.0,3.5,34.0,0.0,107.0,0.0,0.5,garlic,0.674
