,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Item,Footprint,Cluster_ID
1224,oil corn,0.988913525,0,1,0,0,0,0,0,0,0,0.097322624,0,0,0,0,0,0,0.00052589,0,0,0,0,0.000533333,soybean oil,2.303482143,3
1225,oil corn and canola,0.980044346,0,1,0,0,0,0,0,0,0,0.099330656,0,0,0,0,0,0,0,0,0,0,0,0,olive oil,3.837506911,57
1226,oil flaxseed,0.976718404,0.002803738,0.99495,0.00195,0,0,0,0,0,0,0.00394913,0,0,0,0,0.000853631,0.004453603,0.001375405,0.010548523,0.000564,0.002213089,0,0.010133333,soybean oil,2.303482143,39
1227,oil grapeseed,0.980044346,0,1,0,0,0,0,0,0,0,0.192771084,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1228,oil hazelnut,0.980044346,0,1,0,0,0,0,0,0,0,0.315930388,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1229,oil mustard,0.980044346,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1230,oil nutmeg butter,0.980044346,0,1,0,0,0,0,0,0,0,0.001338688,0,0,0,0,0,0,0,0,0,0,0,0,butter,9.900066667,57
1231,oil oat,0.980044346,0,1,0,0,0,0,0,0,0,0.096385542,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1232,oil olive,0.980044346,0,1,0,0,0,0,0,0,0,0.09605087,0,0,0,0,0.000170726,0,0.004530744,0,0,0,0,0,olive oil,3.837506911,39
1233,oil palm,0.980044346,0,1,0,0,0,0,0,0,0,0.10669344,0,0,0,0,0,0,8.09E-05,0,0,0,0,0,palm oil,2.3159,57
1234,oil pam cooking spray,0.87804878,0.003037383,0.7869,0.2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,39
1235,oil peanut,0.980044346,0,1,0,0,0,0,0,0,0,0.10502008,0,0,0,0,0,0,0.000242718,0,0,0,0,0.000533333,peanut oil,2.8975,3
1236,oil poppyseed,0.980044346,0,1,0,0,0,0,0,0,0,0.076305221,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1237,oil rice bran,0.980044346,0,1,0,0,0,0,0,0,0,0.216198126,0,0,0,0,0,0,0.000566343,0,0,0,0,0,soybean oil,2.303482143,3
1238,oil safflower,0.980044346,0,1,0,0,0,0,0,0,0,0.228246319,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,57
1239,oil sesame,0.980044346,0,1,0,0,0,0,0,0,0,0.009370817,0,0,0,0,0,0,0,0,0,0,0,0,sunflower oil,0.99412,57
1240,oil soybean,0.980044346,0,1,0,0,0,0,0,0,0,0.063319946,0,0,0,0,0,0,0.000134844,0,0,0,0,0.000177778,soybean oil,2.303482143,57
1241,oil soybean lecithin,0.845898004,0,1,0,0,0,0,0,0,0,0.054752343,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,39
1242,oil spotted seal alaska native,0.99113082,0,0.9932,0,0,0,0.0348,0,0,0,0.042034806,0,0,0,0,0,0,0,0,0,0,0.01057184,0,soybean oil,2.303482143,3
1243,oil sunflower,0.980044346,0,1,0,0,0,0,0,0,0,0.274966533,0,0,0,0,0,0,6.07E-05,0,0,0,0,0,sunflower oil,0.99412,57
1244,oil walnut,0.980044346,0,1,0,0,0,0,0,0,0,0.002677376,0,0,0,0,0,0,0,0,0,0,0,0,soybean oil,2.303482143,3
1245,oil wheat germ,0.980044346,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,whole wheat flour,0.375669154,3
1246,okra cooked,0.024390244,0.021845794,0.0021,0.0451,0.024048096,0.046992481,0.000466667,0.023375,0,0.006791667,0.001807229,0.02944,0.0108875,0.008088235,0.011785714,0.013145914,0.011300186,0.002265372,0.050632911,0.002352,0.005058489,0.001922153,0.022933333,shrimp frozen,17.73375,98
1247,okra frozen,0.034368071,0.019275701,0.002433333,0.064833333,0.029091516,0.040100251,0.000533333,0.004833333,0,0.004388889,0.002164212,0.07424,0.008083333,0.014558824,0.006994048,0.013032097,0.010413897,0.004341963,0.05766526,0.006829333,0.006112341,0.002883229,0.026844444,octopus frozen,7.878611111,117
